TAZ,gqpop2010,military_jobs,ag,cstr,fire,govt,hh1,hh2,hh3,hh4,hh5,hotel,hr,hu,indus,pop,rc,retail,service,tcu,totalemp,totalhh
67,83,0,2,44,146,118,164,285,165,127,116,0,0,913,34,2486,0,265,642,49,1300,857
68,0,0,0,17,22,0,231,456,293,196,200,0,0,1434,8,3945,0,2,172,2,223,1376
69,25,0,17,16,34,27,198,422,245,194,185,0,0,1289,9,3609,0,36,93,4,236,1244
70,0,0,0,19,35,58,74,101,70,63,59,0,0,398,2,1076,0,39,462,3,618,367
71,22,0,0,17,24,20,60,118,77,58,46,0,0,386,3,1036,0,0,391,0,455,359
72,0,0,0,7,22,0,67,150,91,81,64,0,0,470,5,1340,0,0,72,2,108,453
73,36,0,0,18,21,16,79,132,77,39,66,0,0,412,6,1130,0,0,168,2,231,393
74,157,0,1,16,13,8,82,115,58,50,39,20,47,390,11,1071,0,30,136,11,246,344
75,22,0,0,26,2,21,48,62,35,44,29,0,0,243,1,632,0,28,1458,8,1544,218
76,0,0,0,23,6,5,528,444,185,126,104,0,0,1609,10,3061,0,1,275,1,321,1387
77,0,0,0,6,0,0,13,26,11,14,15,0,0,86,0,258,0,0,11,0,17,79
78,0,0,0,22,0,101,18,24,18,21,24,0,0,111,0,363,0,1,116,43,283,105
79,11,0,0,21,3,15,11,12,3,5,12,0,0,46,0,136,0,18,80,1,138,43
80,7,0,0,15,23,16,61,99,71,47,37,0,0,350,3,869,0,39,267,2,365,315
81,5,0,0,8,3,0,47,86,44,42,39,0,0,274,2,744,0,0,32,0,45,258
82,8,0,0,10,3,0,37,57,34,23,42,0,0,211,3,605,0,0,22,0,38,193
83,3,0,0,23,59,10,90,148,96,66,78,0,0,513,64,1434,0,111,166,9,442,478
84,0,0,0,15,16,5,155,213,161,112,132,0,0,811,11,2258,0,33,196,10,286,773
85,0,0,0,7,2,0,32,51,32,18,37,0,0,186,1,504,0,0,5,1,16,170
86,0,0,0,15,3,0,73,122,84,57,63,0,0,422,0,1169,0,0,97,3,118,399
87,0,0,0,7,3,0,23,44,29,21,21,0,0,145,1,400,0,0,11,0,22,138
88,0,0,0,17,2,31,23,49,32,30,24,0,0,167,6,471,0,4,20,0,80,158
89,174,0,0,20,10,431,17,40,13,13,16,0,0,105,1,446,0,17,129,0,608,99
90,0,0,0,15,17,46,77,132,88,63,69,0,0,449,4,1247,0,0,106,2,190,429
91,0,0,0,18,11,70,18,14,10,9,9,0,0,63,0,163,0,0,14,0,113,60
92,0,0,0,8,1,0,20,38,19,30,36,0,0,153,0,498,0,0,71,1,81,143
93,0,0,0,12,1,10,57,104,62,45,62,0,0,345,12,996,0,0,25,1,61,330
94,0,0,0,22,6,40,36,95,45,38,38,0,0,269,4,743,0,0,54,3,129,252
95,47,0,1,14,10,9,88,168,112,94,88,0,0,570,2,1695,0,1,32,1,70,550
96,0,0,2,20,22,30,54,67,43,39,36,0,0,258,9,695,0,59,111,2,255,239
97,0,0,4,21,560,101,38,32,17,21,12,0,0,128,22,308,0,1106,1607,75,3496,120
98,0,0,0,8,2,0,13,42,17,30,20,0,0,131,1,389,0,0,22,0,33,122
99,15,0,1,14,7,4,28,80,32,50,44,0,0,250,8,759,0,6,147,2,189,234
100,0,0,0,10,23,0,37,120,97,67,52,0,0,396,3,1138,0,0,46,9,91,373
101,0,0,0,17,27,0,47,121,91,53,48,0,0,381,1,1044,0,4,59,5,113,360
102,0,0,0,31,75,453,102,174,115,81,75,0,0,570,4,1584,0,18,409,5,995,547
103,0,0,0,24,0,108,0,0,0,0,0,0,0,0,1,0,0,15,0,0,148,0
104,0,761,0,196,34,110,0,0,0,0,1,0,0,1,7,6,0,80,308,5,1501,1
105,0,0,0,13,18,45,332,300,67,46,36,0,0,926,0,1522,0,0,68,2,146,781
106,54,0,3,11,12,22,9,2,0,2,1,43,101,23,0,80,0,76,208,3,378,14
107,65,0,3,21,7,79,254,256,85,55,44,0,0,779,6,1549,0,104,224,1,445,694
108,8,0,0,19,20,4,87,169,121,93,114,0,0,621,8,1838,0,41,99,14,205,584
109,20,0,0,26,98,29,156,213,158,92,101,0,0,801,7,2036,0,146,550,38,894,720
110,0,0,1,14,0,20,1,4,1,1,0,0,0,8,0,16,0,10,65,0,110,7
111,0,0,0,17,0,0,80,66,25,13,11,0,0,227,0,405,0,15,2,0,34,195
112,0,0,0,0,0,5,126,96,27,14,20,165,314,340,0,573,82,0,84,0,254,283
113,0,0,1,0,2,404,81,31,14,9,10,905,2174,171,0,289,0,58,832,6,2208,145
114,31,0,0,4,44,9,393,261,72,42,32,225,0,1049,8,1521,539,0,235,3,528,800
115,0,0,0,0,3,30,644,394,107,63,54,258,620,1586,3,2324,0,0,200,2,496,1262
116,0,0,0,3,0,6,278,194,54,30,29,59,65,710,5,1114,75,33,22,2,130,585
117,35,0,0,1,120,77,281,148,41,30,20,576,1309,658,4,979,74,138,611,3,1530,520
