Table    10.05
 
***** AVG WEEKDAY ROUTE UTILIZATION BY ROUTE ACCESS TYPE************
Comparison of Route Boardings by Scenario by Route-Specific Mode-of-Access
Total Transit Trips
                                                                 Y2019 EXISTING                                    Y2019 NO-BUILD                                    Y2019 BUILD                                      
                                                                 ================================================= ================================================= =================================================
Route_ID                 --Route Name                    Count      WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL   
26                       --40-Honolulu-Makaha               8147      3863       132         0       942      4937      3863       132         0       942      4937      3863       132         0       942      4937
27                       --41-Kapolei-Ewa Beach             1093      1058        18         0       320      1396      1058        18         0       320      1396      1058        18         0       320      1396
28                       --42-Ewa Beach-Waikiki             8228      5561       121         0      1177      6859      5561       121         0      1177      6859      5561       121         0      1177      6859
29                       --43-Waipahu-Honolulu-Ala Moan     1882      3530       126         0      1022      4678      3530       126         0      1022      4678      3530       126         0      1022      4678
3                        --3-Kaimuki-Salt Lake              9403      7481        94         0      1175      8750      7481        94         0      1175      8750      7481        94         0      1175      8750
30                       --44-Waipahu-Ewa Beach              666       329         1         0        15       344       329         1         0        15       344       329         1         0        15       344
32                       --53-Honolulu-Pacific Palisade     1921      2929       347         0       601      3876      2929       347         0       601      3876      2929       347         0       601      3876
33                       --54-Honolulu-Pearl City           2014      2436       292         0       507      3236      2436       292         0       507      3236      2436       292         0       507      3236
39                       --65-Honolulu-Kaneohe-Ahuimanu     1190      1592       145         0       307      2043      1592       145         0       307      2043      1592       145         0       307      2043
4                        --4-Nuuanu-Punahou                 5521      4057        46         0       924      5026      4057        46         0       924      5026      4057        46         0       924      5026
40                       --C-Country Express! C             4672      4980       249         0      1462      6692      4980       249         0      1462      6692      4980       249         0      1462      6692
42                       --71-Pearlridge-Newtown              52        23        15         0        13        51        23        15         0        13        51        23        15         0        13        51
43                       --72-Schofield-Wahiawa-Whitmor      372       169         3         0        24       196       169         3         0        24       196       169         3         0        24       196
44                       --73-Leeward Community College      369       220        47         0        57       324       220        47         0        57       324       220        47         0        57       324
45                       --74-Aiea-Halawa Heights             48        20         0         0         0        20        20         0         0         0        20        20         0         0         0        20
46                       --76-Waialua-Haleiwa                194       246         1         0        20       268       246         1         0        20       268       246         1         0        20       268
48                       --80-Hawaii Kai Park & Ride Ex      234       258        18         0        38       314       258        18         0        38       314       258        18         0        38       314
49                       --81-Waipahu Express                994      1172        19         0        75      1265      1172        19         0        75      1265      1172        19         0        75      1265
5                        --5-Ala Moana-Manoa                 830       773        10         0       200       983       773        10         0       200       983       773        10         0       200       983
50                       --82-Hawaii Kai Park & Ride Ex      145        41         0         0         0        42        41         0         0         0        42        41         0         0         0        42
51                       --83-Wahiawa Town Express           415        73         5         0        50       128        73         5         0        50       128        73         5         0        50       128
52                       --84-Mililani Express-North         209        28         0         0         4        32        28         0         0         4        32        28         0         0         4        32
53                       --85-Windward Express-Kaneohe       107         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
55                       --88-Kahaluu-Ahuimanu Express        83         9         0         0         0         9         9         0         0         0         9         9         0         0         0         9
56                       --89-Waimanalo-Kailua Express        79        14         0         0         1        15        14         0         0         1        15        14         0         0         1        15
57                       --90-Pearl City Express             127        31         0         0        24        56        31         0         0        24        56        31         0         0        24        56
