"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.04",,,,,,,,,,
"***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ********",,"***",,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"OFF-PEAK=any trip serving one or more stops between 10:",,"0 am a","d 2:15 pm",,,,,,,
,,"Y2019","XISTING",,"Y2019","O-BUILD",,"Y2019","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"22","A-City Express! A","46","815.80","71.45","46","815.80","71.45","46","815.80","71.45"
"24","31-Tripler-Mapunapuna","12","44.26","4.33","12","44.26","4.33","12","44.26","4.33"
"25","32-Kalihi-Pearlridge","10","105.48","9.08","10","105.48","9.08","10","105.48","9.08"
"26","40-Honolulu-Makaha","38","975.73","73.02","38","975.73","73.02","38","975.73","73.02"
"27","41-Kapolei-Ewa Beach","19","168.56","12.10","19","168.56","12.10","19","168.56","12.10"
"28","42-Ewa Beach-Waikiki","36","658.52","61.03","36","658.52","61.03","36","658.52","61.03"
"29","43-Waipahu-Honolulu-Ala Moan","23","387.95","29.35","23","387.95","29.35","23","387.95","29.35"
"3","3-Kaimuki-Salt Lake","47","407.12","43.20","47","407.12","43.20","47","407.12","43.20"
"30","44-Waipahu-Ewa Beach","10","133.13","9.57","10","133.13","9.57","10","133.13","9.57"
"32","53-Honolulu-Pacific Palisade","23","250.53","18.37","23","250.53","18.37","23","250.53","18.37"
"33","54-Honolulu-Pearl City","20","250.67","18.13","20","250.67","18.13","20","250.67","18.13"
"39","65-Honolulu-Kaneohe-Ahuimanu","10","169.74","11.70","10","169.74","11.70","10","169.74","11.70"
"4","4-Nuuanu-Punahou","37","269.02","28.94","37","269.02","28.94","37","269.02","28.94"
"40","C-Country Express! C","31","787.27","43.57","31","787.27","43.57","31","787.27","43.57"
"42","71-Pearlridge-Newtown","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"43","72-Schofield-Wahiawa-Whitmor","8","46.05","4.58","8","46.05","4.58","8","46.05","4.58"
"44","73-Leeward Community College","15","49.28","3.70","15","49.28","3.70","15","49.28","3.70"
"45","74-Aiea-Halawa Heights","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"46","76-Waialua-Haleiwa","13","53.62","3.25","13","53.62","3.25","13","53.62","3.25"
