"TAZ","POP","GQ","HR","RC","HU","HH1","HH2","HH3","HH4","HH5","MILI","GOVT","HOTEL","AG","TCU","INDUS","FIRE","SERV","RETAIL","CSTR","TOTALEMP","TOTALHH","TERMTYPE","TERMTIME","WORK_DAILY","NONWRK_HRLY","PERCWLK","PRV_UNIV_ENROLL","PUB_UNIV_ENROLL","PRV_K12_ENROLL","PUB_K12_ENROLL","SCHOOLS","GQWRK","NONVISRET","VISPRCAUTO","VISPRCTOUR","MILI_BASE","GQTYPE","TD","SHRWRKPKGPROVIDED"
1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,100,0,0,0,0,1,60,106,0,0,0,0,18,0.797297
2,2096,8,0,0,697,72,202,169,148,96,0,0,0,0,10,22,18,108,49,2,209,687,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,4,18,0.797297
3,677,0,311,11,274,35,120,57,35,17,0,0,0,0,0,2,0,55,0,0,57,264,3,1,0,0,100,0,0,0,0,4,463,679,0,0,0,0,18,0.797297
4,1287,0,1341,48,411,29,136,84,92,61,0,0,0,0,5,7,12,35,27,65,151,402,3,1,0,0,100,0,0,0,0,4,111,523,0,0,0,0,18,0.797297
5,1125,7,0,0,351,23,90,90,83,55,0,2,0,0,0,4,4,43,0,19,72,341,3,1,0,0,100,0,0,0,0,0,0,2,0,0,0,3,18,0.797297
6,1846,3,24,17,604,33,214,132,149,69,0,9,0,0,4,16,12,108,4,0,153,597,3,1,0,0,100,0,0,0,865,0,0,35,0,0,0,4,18,0.797297
7,2380,0,0,0,759,83,258,140,139,128,0,13,0,0,2,5,32,79,0,54,185,748,3,1,0,0,100,0,0,0,0,0,15,97,0,0,0,0,18,0.797297
8,480,6,3,1,182,32,55,37,36,13,0,0,0,0,0,1,0,1,0,3,5,173,3,1,0,0,100,0,0,0,0,0,0,13,0,0,0,3,18,0.797297
9,970,31,51,67,312,35,115,72,40,49,0,3,0,7,2,50,2,123,33,0,220,311,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,4,18,0.797297
10,921,0,0,0,323,39,121,57,68,34,0,18,0,54,0,0,27,170,27,0,296,319,3,1,0,0,100,0,0,0,1656,4,5,38,0,0,0,0,18,0.797297
11,2479,0,0,0,1059,233,387,183,146,65,0,0,0,0,2,0,9,25,0,7,43,1014,3,1,0,0,100,0,0,0,0,0,0,13,0,0,0,0,18,0.797297
12,176,0,0,0,75,13,30,20,3,6,0,65,0,100,5,0,5,115,1152,10,1452,72,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297
13,1122,0,0,0,352,42,116,65,61,61,0,16,0,0,55,19,26,165,0,0,281,345,3,1,0,0,100,0,0,0,0,1,0,448,0,0,0,0,18,0.797297
14,1024,0,0,0,386,59,142,64,60,44,0,0,0,0,3,1,6,8,0,0,18,369,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297
15,750,0,0,0,257,35,76,45,50,45,0,0,0,0,11,15,5,53,0,0,84,251,3,1,0,0,100,0,0,0,564,0,12,405,0,0,0,0,18,0.797297
16,1596,0,0,12,512,59,152,106,120,67,0,0,0,0,0,0,0,7,0,1,8,504,3,1,0,0,100,0,0,0,0,0,125,19,0,0,0,0,18,0.797297
17,330,0,0,0,108,7,35,24,31,10,0,0,0,0,0,0,0,0,0,0,0,107,3,1,0,0,100,0,0,0,0,0,0,91,0,0,0,0,18,0.797297
18,917,0,0,30,307,24,102,66,57,48,0,0,0,0,0,0,0,0,0,0,0,297,3,1,0,0,100,0,0,0,0,0,0,1,0,0,0,0,18,0.797297
19,448,0,0,0,173,15,58,49,27,12,0,0,0,0,0,0,0,0,0,0,0,161,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297
