"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"Table","345.01",,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS (","ll Trans","t/All ca","HH) ***",,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  1:","2019 EXI","TING",,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,
"Idist","CBD","Kakaa","MAKIK","WAIKI","KAIMU","KALIH","IWILE","Airpo","SALTL","BAS10","Ewa","KAPOL","MAKAK","WAIPA","Waiaw","Milil","WAHIA","E HON","KANEO","Kailu","BAS21","NORTH","Waian","MANOA","UHMAN","ALAMO","Other","Total"
"CBD","201","503","111","947","553","676","1066","172","251","341","39","50","5","205","0","21","43","66","69","122","45","18","38","86","392","1313","0","7330"
"Kakaa","747","36","99","617","380","180","515","81","227","131","22","12","2","72","4","31","4","42","38","56","8","4","29","63","300","318","0","4018"
"MAKIK","1367","334","51","397","657","324","793","151","201","124","7","29","0","77","2","17","1","109","18","44","29","3","9","166","268","326","0","5504"
"WAIKI","4079","772","110","1463","1022","480","1296","905","246","262","53","36","6","181","2","14","2","565","62","235","49","77","29","283","560","2396","0","15181"
"KAIMU","2357","643","135","854","1117","280","559","94","167","40","4","22","0","71","1","2","2","454","13","66","13","4","7","90","396","1354","0","8748"
"KALIH","3700","1709","268","2199","628","1059","2234","299","500","412","29","29","0","350","15","23","11","105","99","77","6","8","35","474","573","2068","0","16910"
"IWILE","2495","1584","144","1568","923","591","1220","385","600","578","67","85","0","394","27","27","58","171","65","97","22","39","70","151","355","2131","0","13847"
"Airpo","208","89","7","575","8","19","218","50","81","90","15","11","3","54","6","9","16","5","23","4","0","0","6","7","37","237","0","1778"
"SALTL","1489","475","85","363","225","216","698","58","458","285","8","10","2","160","5","10","7","19","31","1","0","0","12","35","166","716","0","5534"
"BAS10","1280","289","51","333","132","160","539","119","152","714","49","65","9","426","17","48","72","16","14","32","15","0","52","57","199","667","0","5506"
"Ewa","1177","316","39","671","98","99","464","193","212","529","714","368","6","977","12","9","7","10","19","9","3","8","31","50","127","447","0","6593"
"KAPOL","436","123","19","138","31","28","129","36","36","142","122","337","2","103","0","6","4","11","0","8","1","0","90","37","63","202","0","2106"
"MAKAK","164","51","1","20","27","14","34","14","37","45","28","448","5","54","0","0","0","0","0","11","0","0","33","8","16","62","0","1072"
"WAIPA","1888","330","82","978","206","420","1368","389","243","1032","374","219","0","3061","146","24","60","10","7","38","0","1","83","61","311","976","0","12309"
"Waiaw","258","29","3","49","8","7","126","11","42","152","20","9","0","93","5","25","10","1","0","1","0","0","36","10","28","239","0","1160"
"Milil","727","100","13","88","41","44","229","114","27","81","4","14","0","118","8","319","139","15","0","9","23","33","3","6","97","141","0","2395"
"WAHIA","380","99","17","76","18","14","266","98","40","234","11","25","8","129","22","231","508","4","17","7","10","89","10","25","32","258","0","2627"
"E HON","742","108","51","466","533","45","105","43","17","11","0","7","0","0","0","2","1","344","0","27","9","2","0","39","197","278","0","3030"
"KANEO","652","183","4","105","33","57","179","28","31","3","0","18","3","30","0","1","0","14","478","275","173","6","3","31","73","276","0","2655"
"Kailu","769","156","58","239","129","45","205","56","42","17","2","7","0","2","0","0","0","77","407","652","44","8","0","43","153","466","0","3576"
"BAS21","92","37","2","14","11","16","26","6","1","0","0","19","0","4","0","4","8","0","241","14","310","141","2","0","15","98","0","1062"
"NORTH","83","12","2","67","0","2","29","17","26","8","0","1","0","5","3","117","163","2","8","0","166","259","0","1","5","49","0","1027"
"Waian","751","326","24","164","49","103","289","149","163","304","57","865","40","499","13","9","0","27","15","25","3","0","1503","20","22","532","0","5954"
"MANOA","1600","382","117","875","535","251","639","76","202","87","2","54","1","93","3","11","15","87","40","88","22","43","20","210","576","1297","0","7325"
"UHMAN","536","221","7","389","217","87","303","49","36","72","0","0","0","59","0","0","0","11","11","44","0","5","0","184","16","510","0","2757"
"ALAMO","1123","230","52","1500","607","365","652","215","179","221","46","22","0","140","0","3","20","98","69","128","25","25","30","178","259","93","0","6281"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","29300","9136","1554","15159","8188","5581","14181","3809","4219","5914","1673","2760","92","7357","289","964","1152","2264","1743","2067","978","772","2133","2316","5232","17450","0","146284"
