"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"DIS10","-475","-661","-159","-729","-242","-110","-350","-93","-96","-489","-521","-476","-56","-1930","-15","50","70","-9","11","-37","22","0","-1221","-23","-335","-1793","0","-9665"
"Ewa","96","-325","-212","-1650","-427","-266","-780","-661","-768","-2211","-66","-556","-18","-1072","-10","0","-36","-88","61","-23","40","14","-224","-30","-10","-1094","0","-10315"
"KAPOL","-1753","-461","9","-192","-30","-113","614","-548","-81","-1951","67","-233","0","-1154","0","-20","-81","68","0","71","30","0","-348","-32","-1189","130","0","-7198"
"MAKAK","1077","318","-12","79","118","66","286","-175","54","-549","-130","-41","-4","-354","0","0","-2","0","0","104","0","0","12","-30","148","339","0","1305"
"WAIPA","-1304","-757","-242","-2241","-413","-1146","-2951","-1732","-1015","-5292","-819","-469","0","-1913","-34","-17","-28","-71","-82","-190","0","-9","-1198","-183","-654","-2513","0","-25273"
"Waiaw","-104","-36","0","-110","1","1","-65","-4","-4","19","-50","-219","0","-16","1","0","4","2","0","-2","0","0","-529","-8","-14","-563","0","-1696"
"Milil","-311","-252","13","-176","0","6","176","17","47","-3","-35","-54","0","-32","0","4","7","1","0","-88","68","0","-159","7","227","-150","0","-688"
"WAHIA","379","91","0","-146","36","-1","213","-106","-21","-497","-71","-229","-74","-67","0","17","46","0","96","-3","43","-1","-250","166","71","-225","0","-534"
"E HON","32","-2","1","-67","-169","0","-27","-1","-4","0","0","36","0","0","0","31","0","1","0","-2","20","-21","0","-17","5","-67","0","-251"
"KANEO","566","-13","2","93","27","37","183","44","17","1","-2","260","20","-137","0","2","1","17","13","167","-28","-6","18","17","-8","108","0","1403"
"Kailu","95","-26","4","182","63","-19","-116","-5","43","-75","-4","67","0","2","0","0","0","31","199","18","319","64","0","-14","83","-39","0","872"
"DIS21","179","77","36","-165","58","26","91","-42","-175","-7","0","274","0","1","0","-361","-44","0","-5352","0","-1689","-453","65","-12","113","-1939","0","-9320"
"NORTH","138","77","0","-22","0","7","256","24","31","-18","0","12","0","21","0","68","79","0","44","0","0","5","0","24","-1","9","0","755"
"Waian","1124","-396","49","-946","-411","365","1809","-3660","-850","-11111","-704","-1391","8","-7581","-174","-190","-5","-48","160","-303","28","0","-548","48","-208","-1823","0","-26759"
"MANOA","25","0","0","49","76","3","-71","-7","-19","-58","0","438","0","-321","-2","0","4","15","5","-17","1","11","34","12","0","14","0","192"
"UHMAN","0","0","0","4","4","14","-65","-1","-3","-2","0","0","0","-280","0","0","1","0","19","-51","0","23","0","9","0","0","0","-328"
"ALAMO","-61","0","0","-3","3","-20","-205","46","39","-172","34","6","0","-840","0","0","45","0","44","91","77","48","158","-19","0","0","0","-728"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","-677","-3185","-505","-8338","-1691","-1087","-1022","-6934","-2484","-23300","-3470","-1194","-36","-19976","-213","-380","127","-136","-4327","-235","-606","268","-3518","-61","-2269","-13117","0","-98361"
"Program","STOPS -","TA Simpl","fied Tri","s-on-Pro","ect Soft","are",,,,,,,"Page","45",,,,,,,,,,,,,,
"Version","STOPS-v",".50 - 10","10/2019",,,,,,,,,,"10/15","2020",,,,,,,,,,,,,,
"Run:","Honolulu","2019 RAI",,,,,,,,,,,"22:","4:42",,,,,,,,,,,,,,
"System:","Oahu Tra","sit/HART",,,,,,,,,,,,,,,,,,,,,,,,,,
"SECTION","9: CO","PARISON","F EXISTI","G, NO-BU","LD AND B","ILD STAT","ON BOARD","NGS BY S","ATION MO","E OF ACC","SS",,,,,,,,,,,,,,,,,
