"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"Table","8.01",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict Incr","mental W","EKDAY AU","OMOBILE","MT Summa","y for Sc","nario  3","Y2019 B","ILD",,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,
"Idist","CBD","Kakaa","MAKIK","WAIKI","KAIMU","KALIH","IWILE","Airpo","SALTL","DIS10","Ewa","KAPOL","MAKAK","WAIPA","Waiaw","Milil","WAHIA","E HON","KANEO","Kailu","DIS21","NORTH","Waian","MANOA","UHMAN","ALAMO","Other","Total"
"CBD","-1","-19","-1","-50","1","3","-13","7","-17","-190","-154","358","16","-549","0","0","31","0","-1","18","159","98","25","-1","1","-117","0","-394"
"Kakaa","-27","0","0","-11","1","-15","-121","-7","2","-171","0","98","4","-15","0","0","0","0","18","14","8","25","16","0","0","-1","0","-181"
"MAKIK","0","3","0","-2","3","0","-34","0","15","-82","0","-284","0","-307","0","1","0","0","63","10","91","14","-17","1","1","0","0","-526"
"WAIKI","-4","-11","0","-4","0","-2","-31","-5","16","-47","-6","210","58","-59","0","0","0","0","120","36","27","328","87","7","3","-3","0","722"
"KAIMU","98","8","1","19","51","19","23","-44","199","-51","-18","184","0","-173","0","0","2","4","32","13","11","24","-12","4","15","77","0","483"
"KALIH","-151","-61","18","-681","-1","37","183","12","12","-183","-284","241","0","-921","1","0","-6","-1","90","-8","81","21","233","59","9","-1554","0","-2853"
"IWILE","-227","-587","-21","-683","-433","-11","-25","-1","85","-46","-513","632","0","-1328","16","0","21","-58","102","-46","85","82","386","-36","-302","-1307","0","-4215"
"Airpo","-99","-84","-1","-625","-18","-2","2","0","0","-27","-149","-41","2","-304","3","14","5","0","-1","-6","0","0","29","0","-39","-290","0","-1629"
"SALTL","32","-68","10","-260","12","33","-1","6","8","-87","-45","-17","9","-648","0","22","15","1","30","0","0","0","-76","-8","-186","-318","0","-1537"
