"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"Table","13.01",,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** UNW","IGHTED A","ERAGE HI","HWAY TIM","(MINUTE",") FOR ZO","E-TO-ZON","RECORDS","WITH CTP","TRIPS *","*",,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict High","ay Imped","nce Summ","ry for S","enario",": Y2019","XISTING",,,,,,,,,,,,,,,,,,,,
"Idist","CBD","Kakaa","MAKIK","WAIKI","KAIMU","KALIH","IWILE","Airpo","SALTL","BAS10","Ewa","KAPOL","MAKAK","WAIPA","Waiaw","Milil","WAHIA","E HON","KANEO","Kailu","BAS21","NORTH","Waian","MANOA","UHMAN","ALAMO","Other","Total"
"CBD","1.2","3.5","6.6","8.1","9.5","3.6","3.7","9.5","8.0","11.1","21.1","23.7","21.0","16.1","13.9","19.1","21.1","12.8","12.9","10.4","32.8","32.0","31.2","6.7","12.1","5.2","0.0","7.8"
"Kakaa","3.0","1.0","3.7","5.4","7.4","5.7","5.8","11.5","9.7","10.7","18.1","25.2","22.5","17.6","17.3","20.6","22.6","8.4","12.4","12.9","35.6","40.1","23.9","4.8","9.9","2.4","0.0","6.9"
"MAKIK","6.2","4.6","1.2","3.5","4.6","7.6","8.0","12.4","10.7","13.2","20.9","25.3","0.0","18.5","17.5","21.3","24.7","7.1","15.9","14.6","32.9","33.7","36.2","4.1","6.8","2.9","0.0","7.1"
"WAIKI","7.3","5.3","3.6","1.9","4.8","8.9","8.9","13.5","12.3","13.8","23.9","27.1","25.2","18.8","7.9","21.3","23.0","8.6","16.5","13.4","31.0","34.6","30.5","6.6","8.7","4.0","0.0","8.4"
"KAIMU","9.6","8.2","5.2","5.3","3.6","9.8","10.7","14.5","13.4","16.1","25.4","27.0","25.2","20.7","21.4","23.2","25.8","6.3","16.4","14.9","45.6","36.0","38.5","7.6","8.2","7.1","0.0","9.3"
"KALIH","6.0","7.5","10.0","11.4","12.0","3.1","4.6","8.8","7.3","9.6","21.0","20.6","20.9","14.6","12.6","17.3","17.6","11.6","10.2","11.7","35.8","32.5","28.4","8.2","14.4","9.8","0.0","8.9"
"IWILE","5.0","7.1","10.1","10.8","12.2","4.0","2.6","7.3","6.1","9.1","20.5","21.1","19.8","14.2","13.7","17.0","20.1","13.1","11.1","13.8","38.3","32.5","28.9","8.6","15.2","9.4","0.0","9.0"
"Airpo","15.8","12.5","23.5","18.8","22.2","12.6","12.9","4.7","7.7","6.4","17.6","21.9","16.3","10.3","12.0","17.7","18.0","27.6","17.4","20.8","41.7","0.0","11.5","21.0","25.4","20.5","0.0","14.1"
"SALTL","14.3","15.3","19.7","18.1","21.2","11.1","10.4","7.1","5.2","7.8","19.9","20.7","18.3","13.4","11.4","16.6","18.4","23.8","15.3","16.1","44.2","0.0","28.3","16.3","24.8","18.7","0.0","14.2"
"BAS10","23.2","23.2","26.4","24.6","27.6","18.9","18.6","13.3","13.8","5.3","14.6","15.7","14.2","8.7","7.6","12.2","14.7","24.8","19.2","18.6","33.6","22.3","22.7","24.5","32.9","27.0","0.0","18.1"
"Ewa","53.7","55.4","57.3","51.2","58.6","48.8","48.8","43.3","45.6","34.5","5.8","15.7","19.1","21.1","24.2","29.9","31.1","57.5","48.6","51.0","64.2","39.8","30.1","57.9","64.7","57.3","0.0","39.6"
"KAPOL","46.3","42.0","49.7","45.3","52.6","44.0","41.3","36.7","37.6","27.1","8.1","7.1","13.0","15.3","18.6","22.0","21.8","45.7","42.2","42.6","49.1","36.8","20.1","51.0","59.9","50.3","0.0","32.0"
"MAKAK","45.6","47.6","48.9","46.0","51.9","42.3","41.4","34.5","37.1","26.5","12.3","9.7","4.3","14.9","17.4","22.4","22.1","53.0","41.5","35.6","53.9","32.8","18.2","47.8","55.9","49.0","0.0","32.5"
"WAIPA","37.0","38.0","40.6","36.9","41.0","32.0","31.9","26.5","28.6","16.9","9.6","12.3","12.2","4.8","8.0","11.6","13.5","37.6","33.0","35.7","46.4","25.5","20.4","40.9","47.7","40.9","0.0","27.0"
"Waiaw","27.9","24.4","26.4","24.1","31.2","26.9","22.8","18.8","18.4","10.1","11.0","11.6","6.6","4.9","1.4","5.7","9.1","43.2","22.1","30.8","0.0","16.6","16.8","29.2","36.1","29.4","0.0","19.2"
"Milil","38.7","39.0","36.1","36.9","40.5","37.2","34.9","29.2","31.5","20.7","18.6","20.8","16.8","14.1","8.2","3.8","7.0","38.8","33.9","28.8","34.3","18.4","21.1","42.1","47.9","42.5","0.0","27.4"
"WAHIA","40.0","40.7","49.5","35.0","50.0","37.1","36.2","33.0","32.6","23.8","19.8","21.8","10.8","17.2","11.2","7.4","4.7","51.7","38.7","37.6","35.1","13.4","30.0","40.3","47.3","44.1","0.0","26.5"
"E HON","16.7","15.6","13.3","13.9","11.3","15.7","17.5","23.1","19.8","21.1","37.8","28.4","0.0","29.6","26.2","33.6","35.4","4.0","24.4","12.9","45.0","0.0","39.6","14.5","16.7","14.1","0.0","15.5"
"KANEO","25.6","25.9","29.7","24.7","32.4","19.9","22.3","23.1","21.9","20.1","32.1","32.6","20.3","28.0","17.5","26.7","31.6","28.7","5.7","10.7","27.8","41.9","40.1","29.2","35.6","29.6","0.0","21.3"
"Kailu","21.9","22.4","24.5","22.2","25.4","18.8","21.8","22.8","22.2","18.9","21.0","25.7","8.6","21.5","23.6","21.7","26.2","14.4","8.8","4.2","32.0","41.0","22.7","23.0","32.8","25.9","0.0","18.3"
"BAS21","34.5","31.6","30.3","39.7","40.9","34.4","35.0","30.6","36.2","34.9","26.8","36.0","37.0","36.3","22.1","32.5","31.1","50.0","21.6","18.5","3.3","18.4","46.3","30.3","39.2","40.7","0.0","30.5"
"NORTH","55.4","58.3","56.9","54.2","61.1","50.0","50.4","44.8","45.9","34.7","30.8","37.5","31.2","27.7","22.1","19.7","16.6","59.5","48.8","44.9","21.1","7.0","44.3","60.0","66.0","60.0","0.0","33.7"
