"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"Table","4.03",,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS O","PROJECT","(All Tra","sit/All","ar HH)**",,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2019 BUI","D",,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,
"Idist","CBD","Kakaa","MAKIK","WAIKI","KAIMU","KALIH","IWILE","Airpo","SALTL","DIS10","Ewa","KAPOL","MAKAK","WAIPA","Waiaw","Milil","WAHIA","E HON","KANEO","Kailu","DIS21","NORTH","Waian","MANOA","UHMAN","ALAMO","Other","Total"
"CBD","0","0","0","0","0","0","0","0","0","34","11","26","4","100","0","0","0","0","0","0","0","0","37","0","0","0","0","212"
"Kakaa","0","0","0","0","0","0","0","0","0","24","0","7","0","9","0","0","0","0","0","0","0","0","29","0","0","0","0","69"
"MAKIK","0","0","0","0","0","0","0","0","0","12","0","41","0","55","0","0","0","0","0","0","0","0","9","0","0","0","0","117"
"WAIKI","0","0","0","0","0","0","0","0","0","0","0","8","3","16","0","0","0","0","0","0","0","0","26","0","0","0","0","53"
"KAIMU","0","0","0","0","0","0","0","0","0","7","1","13","0","30","0","0","0","0","0","0","0","0","8","0","0","0","0","59"
"KALIH","0","0","0","0","0","0","0","0","0","18","25","17","0","175","0","0","0","0","0","0","0","0","27","0","0","0","0","261"
"IWILE","0","0","0","0","0","0","0","0","0","12","38","43","0","262","0","0","0","0","0","0","0","0","56","0","0","0","0","411"
"Airpo","9","0","2","4","0","0","3","0","0","2","22","12","2","79","1","0","0","0","0","0","0","0","4","0","0","9","0","149"
"SALTL","0","0","0","0","0","0","0","2","0","31","1","4","2","150","0","0","0","0","0","0","0","0","15","0","0","0","0","205"
"DIS10","65","55","18","38","8","5","49","5","23","285","87","69","8","665","5","0","1","10","2","4","0","0","99","1","11","105","0","1616"
"Ewa","56","42","2","41","4","27","116","92","98","418","59","4","2","272","3","0","7","3","0","0","0","0","3","0","13","20","0","1281"
"KAPOL","472","148","16","106","27","33","91","54","30","282","3","0","0","198","0","8","8","6","0","2","1","0","0","14","109","193","0","1800"
"MAKAK","101","33","1","12","17","4","20","21","30","74","0","0","0","60","0","0","0","0","0","7","0","0","0","9","10","45","0","446"
"WAIPA","335","110","22","53","38","172","523","373","192","1660","274","110","0","1640","17","7","11","0","8","14","0","1","122","27","61","276","0","6047"
"Waiaw","11","4","0","0","0","0","14","0","1","11","9","33","0","26","0","0","0","0","0","0","0","0","57","1","1","37","0","207"
"Milil","12","0","0","0","6","0","0","0","0","0","6","9","0","10","0","0","0","0","0","0","0","0","9","0","0","1","0","52"
"WAHIA","11","0","0","2","0","0","0","0","5","33","6","25","12","12","0","0","0","0","0","0","0","0","18","0","0","1","0","126"
"E HON","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"KANEO","0","0","0","0","0","0","0","0","0","0","0","6","1","8","0","0","0","0","0","0","0","0","3","0","0","0","0","18"
"Kailu","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"DIS21","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","7"
"NORTH","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Waian","342","153","15","91","54","47","165","241","148","723","30","0","0","654","14","16","1","15","6","13","2","0","0","18","27","425","0","3202"
"MANOA","0","0","0","0","0","0","0","4","0","9","0","22","1","56","0","0","0","0","0","0","0","0","19","0","0","0","0","111"
"UHMAN","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","36"
"ALAMO","0","0","0","0","0","0","0","0","0","15","0","22","0","125","0","0","0","0","0","0","0","0","24","0","0","0","0","186"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","1414","547","77","346","154","289","980","794","527","3650","573","485","35","4637","40","31","28","33","16","40","3","1","566","70","232","1113","0","16682"
