TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD
36,1245,0,0,0,449,77,135,93,70,57,0,0,0,0,2,4,4,62,0,2,74,432,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
37,835,14,0,0,291,59,83,49,46,46,0,71,0,0,0,2,30,294,77,0,474,283,3,0.5,0,0,100,0,0,170,640,3,10,77,0,0,0,3,18
38,455,0,0,0,174,28,51,37,30,17,0,19,0,0,0,0,15,15,0,0,49,163,3,0.5,0,0,100,129,0,0,0,1,0,0,0.73,0.14,0,0,18
39,300,4,370,1,268,38,61,14,12,8,0,0,155,0,28,5,6,680,17,5,896,133,3,0.5,0,2.22,100,0,0,0,0,0,3,17,0.73,0.14,0,3,18
40,420,0,0,0,152,21,54,19,24,24,0,0,0,0,0,0,1,15,0,0,16,142,3,0.5,0,2.22,100,0,0,0,0,0,0,0,0.73,0.14,0,0,18
41,231,0,0,0,86,14,31,17,8,12,0,0,0,0,0,0,1,6,0,0,7,82,3,0.5,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18
42,2935,0,0,0,1058,109,375,213,209,108,0,0,0,0,17,21,22,171,0,45,276,1014,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
43,833,0,0,0,317,45,125,68,42,28,0,0,0,0,0,3,17,54,0,0,74,308,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
44,482,79,0,0,163,23,88,16,15,17,0,7,0,0,2,35,2,99,0,10,155,159,3,0.5,0,0,100,0,0,587,0,1,55,0,0,0,0,3,18
45,2411,0,0,0,894,120,340,191,128,91,0,0,0,0,2,24,22,77,11,0,136,870,3,0.5,0,0,100,0,0,0,0,0,0,11,0,0,0,0,18
46,1048,0,0,0,426,95,146,77,53,36,0,0,0,0,1,3,20,15,0,16,55,407,3,0.5,0,0,100,0,0,0,535,2,0,0,0,0,0,0,5
47,1688,0,0,0,907,379,301,102,72,22,0,89,0,0,2,1,44,689,55,25,905,876,3,0.5,0,0,100,0,0,0,0,0,0,55,0,0,0,0,5
48,1099,0,0,0,437,106,126,80,56,46,0,0,0,0,2,2,57,65,0,14,140,414,3,0.5,0,0.61,100,0,0,0,0,0,0,0,0,0,0,0,5
49,1759,0,0,0,673,142,191,139,98,74,0,0,0,0,24,41,152,256,87,21,581,644,3,0.5,0,0.830073,100,0,0,155,0,1,0,87,0,0,0,0,5
50,567,5,0,0,211,45,66,37,25,28,0,67,0,0,0,2,3,106,11,24,213,201,3,0.5,0,0.957361,100,0,0,276,126,2,3,11,0,0,0,3,5
51,202,0,0,0,100,24,23,11,13,9,0,26,0,9,33,128,135,992,267,18,1608,80,3,0.5,3,1.046993,100,0,0,255,0,1,0,267,0,0,0,0,5
52,662,7,0,0,283,84,82,49,26,26,0,17,0,4,13,3,97,367,202,23,726,267,3,0.5,3.931047,1.085503,100,0,0,556,0,1,5,202,0,0,0,3,5
53,985,17,0,0,382,95,105,53,59,42,0,23,0,4,6,16,76,1524,186,23,1858,354,3,0.5,8.214355,1.078878,100,0,0,1033,0,1,12,186,0,0,0,3,5
54,489,38,0,0,199,50,57,35,19,17,0,16,0,0,1,1,34,235,68,25,380,178,3,0.5,8.147052,1.087298,100,939,0,0,0,2,26,68,0,0,0,1,5
55,662,0,0,0,301,96,91,39,28,24,0,12,0,0,22,17,59,164,82,24,380,278,3,0.5,4.203941,1.093249,100,0,0,0,250,1,0,82,0,0,0,0,5
56,1879,0,0,0,680,139,196,135,81,96,0,12,0,0,0,3,7,51,7,25,105,647,3,0.5,3,1.003876,100,0,0,0,0,0,0,7,0,0,0,0,5
57,1031,5,0,0,347,66,95,67,46,62,0,0,0,0,2,4,8,28,3,9,54,336,3,0.5,0,0,100,0,0,0,0,0,3,3,0,0,0,3,5
58,2021,16,0,0,725,159,183,146,86,118,0,0,0,0,2,9,13,59,20,16,119,692,3,0.5,0,0,100,0,0,0,0,0,11,20,0,0,0,1,5
