TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,HOTEL,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED,MILI,GOVT,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR
27,1011,45,0,0,322,52,79,59,53,62,0,301.07528300723664,305,3,0.5,0,0,100,0,0,0,0,0,31,0,0,0,0,4,18,0.797297297,0,0,0,0,0,16.89067906007924,259.7281441353149,0,24.456459811842482
28,456,5,0,0,196,39,59,34,27,14,0,109.32743380365703,173,3,0.5,0,0,100,0,0,167,0,1,3,0,0,0,0,3,18,0.797297297,0,0,0,0,0,16.89067906007924,80.12619000412995,12.310564739447837,0
29,2322,4,0,0,798,121,239,155,143,115,0,149.9722064821771,773,3,0.5,0,0,100,0,0,0,0,0,3,0,0,0,0,3,18,0.797297297,0,0,0,0,10.149588126394761,0,80.9624451403072,24.621129478895675,34.239043736579475
30,698,0,0,0,231,27,72,46,48,34,0,155.13991229930798,227,3,0.5,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297297,0,0,0,0,0,0,155.13991229930798,0,0
31,1240,13,0,0,420,63,113,85,68,69,0,176.73214916810576,398,3,0.5,0,0,100,0,0,212,0,1,9,54,0,0,0,3,18,0.797297297,0,0,0,0,0,0,97.41927022165689,35.2912512851324,44.02162766131647
32,1880,0,0,0,699,71,255,140,114,72,0,111.42902438969509,652,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297,10,0,0,0,0,33.78135812015848,52.94085644902048,4.924225895779135,9.782583924736993
33,148,15,0,0,59,10,12,9,7,8,0,54.70673494249602,46,3,0.5,0,0,100,0,0,0,0,0,10,0,0,0,0,3,18,0.797297297,0,0,0,0,20.92537682233754,33.78135812015848,0,0,0
34,570,0,0,0,190,28,59,32,35,30,0,22.203294796121924,184,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297,0,0,0,0,0,0,22.203294796121924,0,0
35,1179,0,0,0,415,74,128,59,78,60,0,91.91082307621136,399,3,0.5,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297297,0,0,0,0,13.950251214891692,0,33.93894420000319,0,44.02162766131647
36,1245,0,0,0,449,77,135,93,70,57,0,91.74155443628823,432,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297,0,0,0,0,11.42371910109521,0,70.53525141045601,0,9.782583924736993
37,835,14,0,0,291,59,83,49,46,46,0,908.1485913364913,283,3,0.5,0,0,100,0,0,170,640,3,10,77,0,0,0,3,18,0.797297297,0,16.801088990981775,0,0,20.92537682233754,33.78135812015848,836.6407674030136,0,0
38,455,0,0,0,174,28,51,37,30,17,0,157.47665307253337,163,3,0.5,0,0,100,129,0,0,0,1,0,0,0.73,0.14,0,0,18,0.797297297,0,0,0,0,0,16.89067906007924,136.67294044255934,0,3.913033569894797
39,300,4,370,1,268,38,61,14,12,8,155,496.9450402133507,133,3,0.5,0,2.22,100,0,0,0,0,0,3,17,0.73,0.14,0,3,18,0.797297297,0,0,0,11.053339067889102,4.569487640438084,0,135.93574173834338,180.60388784194308,9.782583924736993
40,420,0,0,0,152,21,54,19,24,24,0,25.454208150002394,142,3,0.5,0,2.22,100,0,0,0,0,0,0,0,0.73,0.14,0,0,18,0.797297297,0,0,0,0,0,0,25.454208150002394,0,0
41,231,0,0,0,86,14,31,17,8,12,0,9.589586965058924,82,3,0.5,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297297,0,0,0,0,0,0,0,9.589586965058924,0
42,2935,0,0,0,1058,109,375,213,209,108,0,268.1647089581317,1014,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297,0,0,0,0,27.900502429783383,67.56271624031696,123.3861253903112,24.85890508587771,24.456459811842482
43,833,0,0,0,317,45,125,68,42,28,0,324.92245150407894,308,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297,0,3.360217798196355,0,0,0,16.89067906007924,285.20288527616833,4.794793482529462,14.673875887105488
44,482,79,0,0,163,23,88,16,15,17,0,122.43651730030277,159,3,0.5,0,0,100,0,0,587,0,1,55,0,0,0,0,3,18,0.797297297,0,0,0,0,28.559297752738026,0,26.169113480601634,67.70810606696311,0
45,2411,0,0,0,894,120,340,191,128,91,0,54.663863790054876,870,3,0.5,0,0,100,0,0,0,0,0,0,11,0,0,0,0,18,0.797297297,0,0,0,0,0,33.78135812015848,16.969472100001596,0,3.913033569894797
