"TAZ","POP","GQ","HR","RC","HU","HH1","HH2","HH3","HH4","HH5","MILI","GOVT","HOTEL","AG","TCU","INDUS","FIRE","SERV","RETAIL","CSTR","TOTALEMP","TOTALHH","TERMTYPE","TERMTIME","WORK_DAILY","NONWRK_HRLY","PERCWLK","PRV_UNIV_ENROLL","PUB_UNIV_ENROLL","PRV_K12_ENROLL","PUB_K12_ENROLL","SCHOOLS","GQWRK","NONVISRET","VISPRCAUTO","VISPRCTOUR","MILI_BASE","GQTYPE","TD","SHRWRKPKGPROVIDED"
36,1236,0,0,0,457,75,133,98,74,61,0,0,0,0,1,2,5,52,0,2,62,441,3,1,0,0,100,0,0,0,965,0,6,25,0,0,0,0,18,1
37,798,14,0,1,292,58,94,37,39,57,0,134,0,2,7,6,54,547,143,0,892,285,3,1,0,0,100,0,0,113,439,2,9,90,0,0,0,3,18,1
38,443,0,0,0,176,27,54,37,28,17,0,62,0,0,0,3,55,45,0,0,165,163,3,1,0,0,100,86,0,0,0,1,0,9,1,0,0,0,18,1
39,314,4,247,1,271,33,65,13,13,12,0,0,144,0,26,4,7,624,16,5,825,136,3,1,0,2,100,0,0,0,0,0,2,75,1,0,0,3,18,1
40,411,0,0,11,153,21,56,13,26,27,0,0,0,0,0,0,2,15,0,0,17,143,3,1,0,2,100,0,0,76,224,1,0,10,1,0,0,0,18,1
41,216,0,0,0,86,14,36,13,4,15,0,0,0,0,0,0,7,18,0,0,25,82,3,1,0,0,100,0,0,0,349,1,1,0,0,0,0,0,18,1
42,4,0,0,0,1,0,0,0,1,0,0,0,0,0,17,17,14,117,0,33,199,1,3,1,0,0,100,0,0,0,292,0,0,7,0,0,0,0,18,1
43,818,0,0,0,322,40,127,71,44,27,0,0,0,0,4,11,63,221,0,0,299,309,3,1,0,0,100,0,0,0,0,0,3,52,0,0,0,0,18,1
44,361,79,0,0,163,25,99,13,11,11,0,8,0,0,2,32,2,102,1,9,155,159,3,1,0,0,100,0,0,391,0,1,1,0,0,0,0,3,18,1
45,2377,0,0,0,902,121,340,189,131,97,0,0,0,0,0,12,13,39,6,0,71,878,3,1,0,0,100,0,0,0,0,0,0,13,0,0,0,0,18,1
46,992,0,0,0,427,91,172,62,54,31,0,0,0,0,0,17,156,147,0,138,458,410,3,1,0,0,100,0,0,0,626,1,2,1,0,0,0,0,5,1
47,1631,0,0,0,909,413,264,103,64,25,0,31,0,0,0,0,16,245,20,9,322,869,3,1,0,0,100,0,0,0,392,0,0,65,0,0,0,0,5,1
48,1101,0,0,0,470,125,126,97,52,45,0,0,0,0,0,2,52,67,0,12,133,445,3,1,0,1,100,0,0,142,0,0,2,2,0,0,0,0,5,1
49,1772,0,0,0,683,121,207,149,105,74,0,0,0,0,32,57,202,352,120,29,792,656,3,1,0,1,100,0,0,103,0,1,0,103,0,0,0,0,5,1
50,533,5,0,0,216,51,61,37,31,25,0,170,0,0,0,8,8,276,28,61,550,205,3,1,0,1,100,0,0,184,85,1,2,22,0,0,0,3,5,1
51,179,0,0,0,91,23,29,8,11,6,0,0,0,0,0,0,0,2,0,0,3,77,3,1,3,1,100,0,0,170,0,1,38,315,0,0,0,0,5,1
52,682,7,0,0,298,78,92,55,30,27,0,18,0,3,10,5,79,272,146,17,549,282,3,1,4,1,100,0,0,400,18,1,1,238,0,0,0,3,5,1
53,949,17,0,0,384,91,99,65,60,45,0,0,0,0,0,0,0,1,0,0,1,360,3,1,8,1,100,0,0,689,0,1,62,219,0,0,0,3,5,1
54,438,38,0,0,202,52,64,29,19,19,0,42,0,0,2,2,79,577,161,58,923,183,3,1,8,1,100,626,0,0,0,1,148,79,0,0,0,1,5,1
55,643,0,0,0,303,98,82,39,31,28,0,25,0,0,48,35,117,336,169,50,780,278,3,1,4,1,100,0,0,0,374,1,7,97,0,0,0,0,5,1
56,1771,0,0,0,691,135,200,148,68,104,0,21,0,0,0,8,18,121,14,47,228,655,3,1,3,1,100,0,0,699,235,2,6,30,0,0,0,0,5,1
57,955,5,0,0,350,68,97,70,47,59,0,0,0,0,0,3,9,31,3,9,55,341,3,1,0,0,100,0,0,0,0,0,14,3,0,0,0,3,5,1
58,1976,16,0,0,735,148,189,140,105,122,0,2,0,0,7,29,24,159,49,39,310,704,3,1,0,0,100,0,0,0,0,0,4,23,0,0,0,1,5,1
59,3,105,0,0,2,0,0,1,0,0,20,0,0,3,1,6,35,156,7,14,222,1,3,1,0,0,100,0,0,1958,0,0,61,44,0,0,0,3,5,1
60,1510,96,0,0,588,120,167,122,65,86,0,0,0,0,13,10,66,311,40,116,556,560,3,1,0,0,100,0,0,0,0,0,26,14,0,0,0,3,5,1
61,635,0,0,0,233,36,63,64,39,25,45,0,0,0,0,6,16,44,0,41,108,227,3,1,0,0,100,0,0,0,227,0,27,6,0,0,0,0,5,1
62,1604,0,0,0,571,110,138,86,80,128,0,119,0,37,0,18,5,105,9,92,385,542,3,1,0,0,100,0,0,93,251,2,12,38,0,0,0,3,5,1
63,1815,4,0,0,621,109,152,106,81,152,0,177,0,7,0,11,14,77,43,59,388,600,3,1,0,0,100,0,0,0,152,1,1,22,0,0,0,3,5,1
64,3,0,0,0,1,0,0,1,0,0,0,3,0,0,2,2,15,77,7,9,115,1,3,1,2,0,100,0,0,0,687,0,0,136,0,0,0,0,5,1
65,1253,3,0,0,599,174,189,89,46,50,55,0,0,0,0,0,0,0,0,0,1,548,3,1,2,1,100,0,0,0,239,1,395,49,0,0,0,1,25,0
