    .076    .000    .000    .000 P=jaw-nb    A=1 INC=4 HHS=1-4
    .010    .000    .033    .010 P=jaw-nb    A=2 INC=4 HHS=1-4
    .000    .007    .049    .033 P=jaw-nb    A=3 INC=4 HHS=1-4
99999999
    .000    .184    .666   2.277 P=nwr-hbsch A=1 INC=1 HHS=1-4
    .000    .107    .624   1.674 P=nwr-hbsch A=2 INC=1 HHS=1-4
    .090    .097    .840   1.821 P=nwr-hbsch A=3 INC=1 HHS=1-4
    .000    .228   1.054   2.000 P=nwr-hbsch A=1 INC=2 HHS=1-4
    .000    .156   1.024   2.507 P=nwr-hbsch A=2 INC=2 HHS=1-4
    .000    .047    .902   1.770 P=nwr-hbsch A=3 INC=2 HHS=1-4
    .000    .063   1.161   1.608 P=nwr-hbsch A=1 INC=3 HHS=1-4
    .000    .148    .961   3.110 P=nwr-hbsch A=2 INC=3 HHS=1-4
    .113    .018    .951   1.929 P=nwr-hbsch A=3 INC=3 HHS=1-4
    .000    .320    .869   4.014 P=nwr-hbsch A=1 INC=4 HHS=1-4
    .018    .258    .784   4.546 P=nwr-hbsch A=2 INC=4 HHS=1-4
    .000    .088    .933   2.350 P=nwr-hbsch A=3 INC=4 HHS=1-4
99999999
    .134    .000    .000    .000 P=nwr-hbcol A=1 INC=1 HHS=1-4
    .063    .000    .562    .284 P=nwr-hbcol A=2 INC=1 HHS=1-4
    .238    .018    .171    .244 P=nwr-hbcol A=3 INC=1 HHS=1-4
    .031    .230    .314    .000 P=nwr-hbcol A=1 INC=2 HHS=1-4
    .125    .214    .233    .000 P=nwr-hbcol A=2 INC=2 HHS=1-4
    .042    .085    .257    .187 P=nwr-hbcol A=3 INC=2 HHS=1-4
    .165    .044    .018    .000 P=nwr-hbcol A=1 INC=3 HHS=1-4
    .121    .183    .097    .118 P=nwr-hbcol A=2 INC=3 HHS=1-4
    .373    .038    .135    .168 P=nwr-hbcol A=3 INC=3 HHS=1-4
    .079    .323    .000    .000 P=nwr-hbcol A=1 INC=4 HHS=1-4
    .054    .032    .343    .215 P=nwr-hbcol A=2 INC=4 HHS=1-4
    .000    .264    .304    .558 P=nwr-hbcol A=3 INC=4 HHS=1-4
