TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,Work_5,Work_6,University,School,Escort,Maintenance,Discretionary,AtWork
63,0.5022,0.61354,0.7012,0.55947,0.64814,-0.0927,0,-0.27697,2.2309,0,0,0,0
64,0.52237,0.917,0.47695,0.46473,0.64423,1.14144,8.01358,2.09485,0,0,0,0,0
65,0.33522,-0.97416,0.62601,0.31201,0.35413,0.20789,0.72952,1.12264,1.90098,0,0,0,0
66,0.15236,0.35215,0.54066,0.3834,0.35183,0.63032,6.62301,-0.30186,1.72275,0,0,0,0
67,0.41232,0.3773,0.3442,0.64129,0.71444,0.40618,6.69614,1.73912,2.21476,0,0,0,0
68,0.06531,0.26826,0.65427,0.65623,0.85287,0.58718,0,1.86971,0,0,0,0,0
69,0.42063,0.77346,0.90876,0.5344,0.402,0.67923,0,1.75188,2.44155,0,0,0,0
70,0.37917,0.44601,0.34496,0.46207,0.54536,0.76988,8.27298,2.15617,0,0,0,0,0
71,-0.02845,0.41508,0.24783,0.29195,0.60701,0.73736,7.32521,1.952,0,0,0,0,0
72,-0.12168,0.08063,0.2299,0.55519,0.57308,0.63504,0,2.38139,0,0,0,0,0
73,0.14247,0.45485,0.19783,0.59333,0.22173,0.98685,0,2.0957,0,0,0,0,0
74,-0.13143,0.32135,0.79257,0.5471,0.77392,-0.03305,6.2368,2.17951,0,0,0,0,0
75,0.09615,0.11733,0.29749,0.0867,0.41608,0.68222,6.96987,1.85094,0.78018,0,0,0,0
76,0.12917,0.72503,0.34231,0.30989,0.5781,0.37862,7.35851,2.15311,1.40079,0,0,0,0
77,-1.27858,-0.02355,0.84256,-1.24763,0.4934,1.04271,-1.64206,0.1255,0,0,0,0,0
78,-0.05569,0.51214,0.75341,0.01955,0.70351,-0.04505,0,0,1.67781,0,0,0,0
79,0.09882,0.41799,0.58079,0.79524,0.91515,1.05178,0,1.92745,1.65609,0,0,0,0
80,0.57939,0.01643,0.57173,0.36969,0.38512,0.79005,4.02353,2.48036,0,0,0,0,0
81,0.43281,-0.05732,0.58062,0.25431,0.10061,0.30185,0.04962,1.12403,0,0,0,0,0
82,0.11409,0.98494,0.57413,0.57931,0.08284,-0.42519,0,0.85973,0,0,0,0,0
83,0.38528,0.5519,0.64391,0.46662,0.55389,0.97708,2.57446,2.75191,0,0,0,0,0
84,0.22841,0.34372,0.50696,0.40628,0.65921,1.03407,7.36156,1.98855,0,0,0,0,0
85,0.26159,0.93437,0,-0.12607,-0.85671,0.97414,0,0,0,0,0,0,0
86,0.2099,0.34634,0.47957,0.85221,0.70864,0.29385,1.09416,1.8644,1.71824,0,0,0,0
87,-0.46715,0,0,-0.1498,0.38647,0.65839,0,0,0,0,0,0,0
88,0.43577,0.36889,0.14578,0.61314,0.41994,0.33109,0,2.658,0,0,0,0,0
89,0.25592,0.35239,0.60418,0.70616,0.37137,-0.02921,2.12534,1.84901,0,0,0,0,0
90,0.12139,0.32153,0.35722,0.60811,0.23243,-0.32144,0,2.03852,0,0,0,0,0
91,0.4931,0.44854,0.2659,0.26122,0.61665,0.34833,0,0,0,0,0,0,0
92,0.64251,0.41752,0.67068,0.65225,0.21307,0.0877,0,1.90519,1.94006,0,0,0,0
93,0.34102,0.2171,0.17172,0.51081,0.41612,0.36682,0,0.95582,1.72211,0,0,0,0
94,0.80724,0.64408,0.56316,0.42474,0.15601,1.04942,0,1.08092,1.93379,0,0,0,0
95,0.04785,0.50187,0.23137,0.44446,0.48556,0.30775,0.07559,2.19469,0,0,0,0,0
96,-0.02089,0.36455,0.35189,0.14081,0.82353,0.81176,0,1.24765,0,0,0,0,0
97,0.15776,0.4722,0.43712,0.30089,0.59882,0.70936,7.02819,1.54632,0,0,0,0,0
98,0.89506,0.63297,0.96172,0.14668,0.37821,0.9673,0,0.75364,0,0,0,0,0
99,0.61438,0.58884,0.7358,0.51658,-0.32446,0.35481,0,2.74711,2.03466,0,0,0,0
100,0.82467,0.58462,1.42496,-0.01363,0.99726,0.3798,0,0.5545,0,0,0,0,0
101,0.5239,0.49937,-0.08784,0.23551,0.4679,0.58476,0,2.50327,0,0,0,0,0
102,0.38653,0.54322,0.68794,0.46306,-0.08429,1.44285,3.86815,1.98092,2.3533,0,0,0,0
