"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"Table    10.01",,,,,,,,,,,,,,
"***** AVG WEEKDAY ROUTE UTILIZATION ZONE BY (PRODUCTION",,"END) ACC","SS TYPE *","*********",,,,,,,,,,
"Comparison of Route Boardings by Scenario and Zone (Pro",,"uction-E","d) Mode-o","-Access",,,,,,,,,,
"Total Transit Trips",,,,,,,,,,,,,,
,,,"Y2017 EXI","TING",,,"Y2017 NO-","UILD",,,"Y2017 BUI","D",,
,,,"=========","=========","=========","=========","=========","=========","=========","=========","=========","=========","=========","========="
"Route_ID","Route Name","Count","WLK","KNR","PNR","ALL","WLK","KNR","PNR","ALL","WLK","KNR","PNR","ALL"
"47","77-Waimanalo-Kaneohe","314","454","20","0","474","454","20","0","474","454","20","0","474"
"48","80-Hawaii Kai Park & Ride Ex","277","321","13","0","334","321","13","0","334","321","13","0","334"
"49","81-Waipahu Express","1241","1224","21","0","1245","1224","21","0","1245","1224","21","0","1245"
"5","5-Ala Moana-Manoa","894","1109","13","0","1123","1109","13","0","1123","1109","13","0","1123"
"50","82-Hawaii Kai Park & Ride Ex","164","52","1","0","53","52","1","0","53","52","1","0","53"
"51","83-Wahiawa Town Express","539","210","7","0","217","210","7","0","217","210","7","0","217"
"52","84-Mililani Express-North","251","26","1","0","28","26","1","0","28","26","1","0","28"
"53","85-Windward Express-Kaneohe","203","0","0","0","1","0","0","0","1","0","0","0","1"
"55","88-Kahaluu-Ahuimanu Express","115","11","0","0","11","11","0","0","11","11","0","0","11"
"56","89-Waimanalo-Kailua Express","96","3","0","0","3","3","0","0","3","3","0","0","3"
"57","90-Pearl City Express","176","55","1","0","56","55","1","0","56","55","1","0","56"
"58","91-Ewa Beach Express","849","1952","72","0","2024","1952","72","0","2024","1952","72","0","2024"
"59","92-Makakilo City Express","181","11","0","0","11","11","0","0","11","11","0","0","11"
"6","6-Pauoa-Woodlawn","5264","3959","114","0","4073","3959","114","0","4073","3959","114","0","4073"
"60","93-Waianae Coast Express-CBD","929","1298","46","0","1343","1298","46","0","1343","1298","46","0","1343"
"62","96-Waipio Gentry Express","140","0","0","0","0","0","0","0","0","0","0","0","0"
"63","97-Village Park Express","271","57","0","0","57","57","0","0","57","57","0","0","57"
"64","98-Wahiawa-Mililani Park & R","178","0","0","0","0","0","0","0","0","0","0","0","0"
"65","101-Ewa Gentry Express","483","9","0","0","9","9","0","0","9","9","0","0","9"
"66","102-Villages of Kapolei Expr","183","67","0","0","67","67","0","0","67","67","0","0","67"
"67","103-Paiwa-Waikele Express","102","0","0","0","0","0","0","0","0","0","0","0","0"
"69","80A-Hawaii Kai Park & Ride E","143","547","13","0","560","547","13","0","560","547","13","0","560"
"7","7-Kalihi Valley","3276","2719","156","0","2875","2719","156","0","2875","2719","156","0","2875"
"71","84A-Mililani Express-South","296","451","9","0","459","451","9","0","459","451","9","0","459"
"72","85A-Windward Express-Haiku","115","81","3","0","84","81","3","0","84","81","3","0","84"
"74","88A-North Shore Express","209","3","0","0","3","3","0","0","3","3","0","0","3"
"76","98A-Wahiawa-Mililani Transit","198","0","0","0","0","0","0","0","0","0","0","0","0"
"77","W1-Waipahu via Farrington Ex","616","3","0","0","3","3","0","0","3","3","0","0","3"
"78","W2-Waipahu via Paiwa Express","238","0","0","0","0","0","0","0","0","0","0","0","0"
"79","W3-Kalihi via School Street","181","0","0","0","0","0","0","0","0","0","0","0","0"
"8","8-Waikiki-Ala Moana","3507","1277","23","0","1299","1277","23","0","1299","1277","23","0","1299"
"80","80B-Upper Aina Haina Express","14","3","0","0","3","3","0","0","3","3","0","0","3"
"81","401-Waianae Valley","387","632","9","0","641","632","9","0","641","632","9","0","641"
"82","402-Lualualei Homestead","305","400","8","0","408","400","8","0","408","400","8","0","408"
"83","403-Nanakuli-Maili-Waianae","551","694","9","0","702","694","9","0","702","694","9","0","702"
"84","411-Makakilo Heights","836","835","3","0","837","835","3","0","837","835","3","0","837"
"86","413-Campbell Industrial Park","129","130","3","0","132","130","3","0","132","130","3","0","132"
"87","415-Kapolei Transit Center-K","55","48","0","0","48","48","0","0","48","48","0","0","48"
"88","432-East-West Waipahu","1509","301","6","0","306","301","6","0","306","301","6","0","306"
"89","433-Waipahu-Waikele Shopping","1418","1496","17","0","1513","1496","17","0","1513","1496","17","0","1513"
"90","434-Waipahu-Village Park","1266","797","7","0","804","797","7","0","804","797","7","0","804"
"Total",,"195633","190060","5686","0","195747","190060","5686","0","195747","190060","5686","0","195747"
