Table    10.04
 
***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ************
Comparison of Weekday Operating Statistics by Scenario
OFF-PEAK=any trip serving one or more stops between 10:00 am and 2:15 pm
 
                                                        Y2017 EXISTING                   Y2017 NO-BUILD                   Y2017 BUILD                     
                                                        ================================ ================================ ================================
Route_ID                 --Route Name                   #Trips     Miles        Hours    #Trips     Miles        Hours    #Trips     Miles        Hours   
42                       --71-Pearlridge-Newtown             0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
43                       --72-Schofield-Wahiawa-Whitmor      8        47.24         4.58      8        47.24         4.58      8        47.24         4.58
44                       --73-Leeward Community College     16        54.25         4.08     16        54.25         4.08     16        54.25         4.08
45                       --74-Aiea-Halawa Heights            0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
46                       --76-Waialua-Haleiwa               13        53.70         3.25     13        53.70         3.25     13        53.70         3.25
47                       --77-Waimanalo-Kaneohe              7        75.21         4.00      7        75.21         4.00      7        75.21         4.00
48                       --80-Hawaii Kai Park & Ride Ex      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
49                       --81-Waipahu Express                0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
5                        --5-Ala Moana-Manoa                11        42.96         4.42     11        42.96         4.42     11        42.96         4.42
50                       --82-Hawaii Kai Park & Ride Ex      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
51                       --83-Wahiawa Town Express           0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
52                       --84-Mililani Express-North         0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
53                       --85-Windward Express-Kaneohe       0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
55                       --88-Kahaluu-Ahuimanu Express       0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
56                       --89-Waimanalo-Kailua Express       0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
57                       --90-Pearl City Express             0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
58                       --91-Ewa Beach Express              0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
59                       --92-Makakilo City Express          0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
6                        --6-Pauoa-Woodlawn                 35       254.74        31.62     35       254.74        31.62     35       254.74        31.62
60                       --93-Waianae Coast Express-CBD      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
62                       --96-Waipio Gentry Express          0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
63                       --97-Village Park Express           0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
64                       --98-Wahiawa-Mililani Park & R      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
65                       --101-Ewa Gentry Express            0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
66                       --102-Villages of Kapolei Expr      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
67                       --103-Paiwa-Waikele Express         0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
69                       --80A-Hawaii Kai Park & Ride E      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
7                        --7-Kalihi Valley                  17        88.20         8.87     17        88.20         8.87     17        88.20         8.87
71                       --84A-Mililani Express-South        0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
72                       --85A-Windward Express-Haiku        0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
74                       --88A-North Shore Express           0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
76                       --98A-Wahiawa-Mililani Transit      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
77                       --W1-Waipahu via Farrington Ex      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
78                       --W2-Waipahu via Paiwa Express      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
79                       --W3-Kalihi via School Street       0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
8                        --8-Waikiki-Ala Moana              63       176.69        26.40     63       176.69        26.40     63       176.69        26.40
80                       --80B-Upper Aina Haina Express      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
81                       --401-Waianae Valley                8        32.27         2.07      8        32.27         2.07      8        32.27         2.07
82                       --402-Lualualei Homestead           8        25.52         1.40      8        25.52         1.40      8        25.52         1.40
83                       --403-Nanakuli-Maili-Waianae        9        64.54         3.70      9        64.54         3.70      9        64.54         3.70
84                       --411-Makakilo Heights             18        65.31         5.40     18        65.31         5.40     18        65.31         5.40
86                       --413-Campbell Industrial Park      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
87                       --415-Kapolei Transit Center-K      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
88                       --432-East-West Waipahu            24        57.00         7.20     24        57.00         7.20     24        57.00         7.20
89                       --433-Waipahu-Waikele Shopping     18        95.35         7.55     18        95.35         7.55     18        95.35         7.55
90                       --434-Waipahu-Village Park         13        40.10         3.47     13        40.10         3.47     13        40.10         3.47
                                                  Total   1302     14155.46      1159.34   1302     14155.46      1159.34   1302     14155.46      1159.34

