Table    10.03
 
***** PEAK TRIPS, MILES AND HOURS BY ROUTE ************
Comparison of Weekday Operating Statistics by Scenario
PEAK=any trip serving one or more stops between 5:00 am and 9:15 am
 
                                                        Y2017 EXISTING                   Y2017 NO-BUILD                   Y2017 BUILD                     
                                                        ================================ ================================ ================================
Route_ID                 --Route Name                   #Trips     Miles        Hours    #Trips     Miles        Hours    #Trips     Miles        Hours   
42                       --71-Pearlridge-Newtown             8        39.80         2.35      8        39.80         2.35      8        39.80         2.35
43                       --72-Schofield-Wahiawa-Whitmor      7        43.61         4.17      7        43.61         4.17      7        43.61         4.17
44                       --73-Leeward Community College     14        47.91         3.78     14        47.91         3.78     14        47.91         3.78
45                       --74-Aiea-Halawa Heights            6        26.25         1.98      6        26.25         1.98      6        26.25         1.98
46                       --76-Waialua-Haleiwa               10        40.23         2.47     10        40.23         2.47     10        40.23         2.47
47                       --77-Waimanalo-Kaneohe              5        60.64         3.40      5        60.64         3.40      5        60.64         3.40
48                       --80-Hawaii Kai Park & Ride Ex      6       110.07         7.88      6       110.07         7.88      6       110.07         7.88
49                       --81-Waipahu Express               12       193.43        12.55     12       193.43        12.55     12       193.43        12.55
5                        --5-Ala Moana-Manoa                13        49.99         5.23     13        49.99         5.23     13        49.99         5.23
50                       --82-Hawaii Kai Park & Ride Ex      4        59.04         3.60      4        59.04         3.60      4        59.04         3.60
51                       --83-Wahiawa Town Express           7       177.10         9.12      7       177.10         9.12      7       177.10         9.12
52                       --84-Mililani Express-North         4        88.58         4.52      4        88.58         4.52      4        88.58         4.52
53                       --85-Windward Express-Kaneohe       3        56.05         3.37      3        56.05         3.37      3        56.05         3.37
55                       --88-Kahaluu-Ahuimanu Express       2        28.63         1.90      2        28.63         1.90      2        28.63         1.90
56                       --89-Waimanalo-Kailua Express       2        32.24         2.00      2        32.24         2.00      2        32.24         2.00
57                       --90-Pearl City Express             2        31.35         2.18      2        31.35         2.18      2        31.35         2.18
58                       --91-Ewa Beach Express              9       169.25        10.65      9       169.25        10.65      9       169.25        10.65
59                       --92-Makakilo City Express          3        63.71         3.30      3        63.71         3.30      3        63.71         3.30
