"X1","X2","X3","X4","X5"
"Table    10.05",,,,
"***** AVG WEEKDAY ROUTE UTILIZATION BY ROUTE ACCESS TYP","********","***",,
"Comparison of Route Boardings by Scenario by Route-Spec","fic Mode","of-Access",,
"Total Transit Trips",,,,
,,"Y2017 EXISTING","Y2017 NO-BUILD","Y2017 BUILD"
,,"=================================================","=================================================","================================================="
"Route_ID                 --Route Name","Count","WLK       KNR       PNR       XFR       ALL","WLK       KNR       PNR       XFR       ALL","WLK       KNR       PNR       XFR       ALL"
"32                       --53-Honolulu-Pacific Palisade","2371","3531       544         0      1076      5152","3531       544         0      1076      5152","3531       544         0      1076      5152"
"33                       --54-Honolulu-Pearl City","2739","2565       252         0       573      3390","2565       252         0       573      3390","2565       252         0       573      3390"
"35                       --56-Honolulu-Kailua-Kaneohe","2459","1945       163         0       448      2556","1945       163         0       448      2556","1945       163         0       448      2556"
"36                       --57-Kailua-Waimanalo-Sea Life","3082","2981       160         0       373      3515","2981       160         0       373      3515","2981       160         0       373      3515"
"39                       --65-Honolulu-Kahaluu","1193","1162        70         0       260      1492","1162        70         0       260      1492","1162        70         0       260      1492"
"4                        --4-Nuuanu-Punahou","6421","4669        55         0      1171      5895","4669        55         0      1171      5895","4669        55         0      1171      5895"
"40                       --C-Country Express! C","5885","5269       390         0      1864      7523","5269       390         0      1864      7523","5269       390         0      1864      7523"
"41                       --70-Lanikai-Maunawili","337","173         1         0        76       250","173         1         0        76       250","173         1         0        76       250"
"42                       --71-Pearlridge-Newtown","78","64        10         0        11        85","64        10         0        11        85","64        10         0        11        85"
"43                       --72-Schofield-Wahiawa-Whitmor","456","247         4         0        43       294","247         4         0        43       294","247         4         0        43       294"
"44                       --73-Leeward Community College","612","271        25         0        69       365","271        25         0        69       365","271        25         0        69       365"
"45                       --74-Aiea-Halawa Heights","59","25         0         0         1        26","25         0         0         1        26","25         0         0         1        26"
"46                       --76-Waialua-Haleiwa","366","311        31         0        30       372","311        31         0        30       372","311        31         0        30       372"
"47                       --77-Waimanalo-Kaneohe","314","312        20         0       142       474","312        20         0       142       474","312        20         0       142       474"
"48                       --80-Hawaii Kai Park & Ride Ex","277","277        13         0        44       334","277        13         0        44       334","277        13         0        44       334"
"49                       --81-Waipahu Express","1241","1053        19         0       173      1245","1053        19         0       173      1245","1053        19         0       173      1245"
"5                        --5-Ala Moana-Manoa","894","879        13         0       231      1123","879        13         0       231      1123","879        13         0       231      1123"
"50                       --82-Hawaii Kai Park & Ride Ex","164","45         1         0         7        53","45         1         0         7        53","45         1         0         7        53"
"51                       --83-Wahiawa Town Express","539","114         4         0        98       217","114         4         0        98       217","114         4         0        98       217"
"52                       --84-Mililani Express-North","251","23         0         0         5        28","23         0         0         5        28","23         0         0         5        28"
"53                       --85-Windward Express-Kaneohe","203","0         0         0         0         1","0         0         0         0         1","0         0         0         0         1"
"55                       --88-Kahaluu-Ahuimanu Express","115","11         0         0         0        11","11         0         0         0        11","11         0         0         0        11"
"56                       --89-Waimanalo-Kailua Express","96","3         0         0         0         3","3         0         0         0         3","3         0         0         0         3"
"57                       --90-Pearl City Express","176","29         0         0        27        56","29         0         0        27        56","29         0         0        27        56"
"58                       --91-Ewa Beach Express","849","1634        72         0       318      2024","1634        72         0       318      2024","1634        72         0       318      2024"
"59                       --92-Makakilo City Express","181","0         0         0        11        11","0         0         0        11        11","0         0         0        11        11"
"6                        --6-Pauoa-Woodlawn","5264","3197        86         0       790      4073","3197        86         0       790      4073","3197        86         0       790      4073"
"60                       --93-Waianae Coast Express-CBD","929","1061        46         0       236      1343","1061        46         0       236      1343","1061        46         0       236      1343"
"62                       --96-Waipio Gentry Express","140","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"63                       --97-Village Park Express","271","57         0         0         0        57","57         0         0         0        57","57         0         0         0        57"
"64                       --98-Wahiawa-Mililani Park & R","178","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"65                       --101-Ewa Gentry Express","483","9         0         0         0         9","9         0         0         0         9","9         0         0         0         9"
"66                       --102-Villages of Kapolei Expr","183","65         0         0         2        67","65         0         0         2        67","65         0         0         2        67"
"67                       --103-Paiwa-Waikele Express","102","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"69                       --80A-Hawaii Kai Park & Ride E","143","389        10         0       162       560","389        10         0       162       560","389        10         0       162       560"
"7                        --7-Kalihi Valley","3276","2457       147         0       270      2875","2457       147         0       270      2875","2457       147         0       270      2875"
"71                       --84A-Mililani Express-South","296","243         6         0       211       459","243         6         0       211       459","243         6         0       211       459"
"72                       --85A-Windward Express-Haiku","115","65         3         0        16        84","65         3         0        16        84","65         3         0        16        84"
"74                       --88A-North Shore Express","209","3         0         0         0         3","3         0         0         0         3","3         0         0         0         3"
"76                       --98A-Wahiawa-Mililani Transit","198","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"77                       --W1-Waipahu via Farrington Ex","616","3         0         0         0         3","3         0         0         0         3","3         0         0         0         3"
"78                       --W2-Waipahu via Paiwa Express","238","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"79                       --W3-Kalihi via School Street","181","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
