TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED,occ_rate
1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,100,0,0,0,0,1,60,106,0,0,0,0,18,0.797297,NaN
2,2015,8,0,0,666,73,190,155,130,108,0,0,0,0,11,24,20,119,54,2,230,656,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,4,18,0.797297,0.985652798
3,665,0,0,14,264,34,106,64,29,21,0,0,0,0,0,2,0,61,0,0,63,254,3,1,0,0,100,0,0,0,0,4,463,679,0,0,0,0,18,0.797297,0.96350365
4,1163,0,0,63,386,29,141,66,89,53,0,0,0,0,6,8,13,39,30,72,168,378,3,1,0,0,100,0,0,0,0,4,111,523,0,0,0,0,18,0.797297,0.97810219
5,1099,7,0,0,339,24,82,85,91,47,0,2,0,0,0,4,4,47,0,21,78,329,3,1,0,0,100,0,0,0,0,0,0,2,0,0,0,3,18,0.797297,0.971509972
6,1755,3,0,22,578,28,198,140,144,61,0,10,0,0,4,18,13,119,4,0,168,571,3,1,0,0,100,0,0,0,865,0,0,35,0,0,0,4,18,0.797297,0.988410596
7,2418,0,0,0,744,86,267,139,79,162,0,14,0,0,2,6,35,87,0,60,204,733,3,1,0,0,100,0,0,0,0,0,15,97,0,0,0,0,18,0.797297,0.985507246
8,509,6,0,2,176,32,43,41,28,23,0,0,0,0,0,1,0,1,0,3,5,167,3,1,0,0,100,0,0,0,0,0,0,13,0,0,0,3,18,0.797297,0.950549451
9,1032,31,0,88,319,47,105,82,4,80,0,3,0,5,2,55,2,136,36,0,239,318,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,4,18,0.797297,0.996794872
10,920,0,0,0,317,42,114,64,49,44,0,20,0,36,0,0,30,188,30,0,304,313,3,1,0,0,100,0,0,0,1656,4,5,38,0,0,0,0,18,0.797297,0.987616099
11,2521,0,0,0,1030,232,368,180,85,121,0,0,0,0,2,0,10,28,0,8,48,986,3,1,0,0,100,0,0,0,0,0,0,13,0,0,0,0,18,0.797297,0.957507082
12,181,0,0,0,82,19,28,24,6,2,0,72,0,67,6,0,6,127,1273,11,1562,79,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297,0.96
13,1445,0,0,0,440,52,129,94,87,69,0,18,0,0,61,21,29,183,0,0,312,431,3,1,0,0,100,0,0,0,0,1,0,448,0,0,0,0,18,0.797297,0.980113636
14,1059,0,0,0,370,61,123,68,49,53,0,0,0,0,3,1,7,9,0,0,20,354,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297,0.955958549
15,850,0,0,0,288,38,91,48,34,70,0,0,0,0,12,17,6,58,0,0,93,281,3,1,0,0,100,0,0,0,564,0,12,405,0,0,0,0,18,0.797297,0.976653696
16,1485,0,0,16,491,69,145,112,98,59,0,0,0,0,0,0,0,8,0,1,9,483,3,1,0,0,100,0,0,0,0,0,125,19,0,0,0,0,18,0.797297,0.984375
17,315,0,0,0,106,7,37,27,18,16,0,0,0,0,0,0,0,0,0,0,0,105,3,1,0,0,100,0,0,0,0,0,0,91,0,0,0,0,18,0.797297,0.990740741
18,915,0,0,39,299,17,113,67,22,70,0,0,0,0,0,0,0,0,0,0,0,289,3,1,0,0,100,0,0,0,0,0,0,1,0,0,0,0,18,0.797297,0.96742671
19,438,0,0,0,165,12,59,42,27,14,0,0,0,0,0,0,0,0,0,0,0,154,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297,0.930635838
20,5721,0,0,13,2489,450,887,453,332,158,0,11,0,0,20,24,7,357,0,91,510,2280,3,1,0,0,100,0,0,0,0,1,93,119,0,0,0,0,18,0.797297,0.916156202
21,1178,0,0,0,518,99,203,84,60,32,0,60,0,0,7,40,50,442,163,0,762,478,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297,0.92202729
22,0,0,0,0,0,0,0,0,0,0,0,293,0,0,31,36,232,891,351,0,1834,0,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297,NaN
23,1512,0,0,0,520,84,197,89,38,87,0,0,0,0,0,0,0,0,0,0,0,495,3,1,0,0,100,0,0,0,0,0,5,82,0,0,0,0,18,0.797297,0.95194085
24,1251,0,0,0,370,39,86,69,44,119,0,98,0,14,37,11,43,650,48,3,904,357,3,1,0,0,100,0,0,0,820,0,0,0,0,0,0,0,18,0.797297,0.965217391
25,1931,1,0,0,870,312,250,94,74,86,0,0,0,0,0,0,0,10,0,3,13,816,3,1,0,0,100,0,0,0,0,0,0,49,0,0,0,3,18,0.797297,0.937915743
26,805,0,0,0,302,43,118,65,23,35,0,0,0,0,0,0,0,0,0,0,0,284,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297,0.939102564
27,1047,45,0,0,324,42,83,58,31,99,0,0,0,0,0,1,2,34,0,0,37,313,3,1,0,0,100,0,0,0,0,1,0,17,0,0,0,4,18,0.797297,0.966666667
28,499,5,0,0,198,34,56,39,30,20,0,9,0,0,0,0,61,96,0,0,166,179,3,1,0,0,100,0,0,207,0,0,0,127,0,0,0,3,18,0.797297,0.902912621
29,2845,4,0,0,924,154,232,188,135,191,0,2,0,0,4,9,11,99,0,2,127,900,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,3,18,0.797297,0.973655324
30,834,0,0,0,259,16,114,43,32,53,0,0,0,0,12,0,36,73,0,0,121,258,3,1,0,0,100,0,0,0,779,0,0,0,0,0,0,0,18,0.797297,0.996153846
31,1543,13,0,0,477,45,129,82,102,111,0,23,0,0,2,23,43,520,120,0,731,469,3,1,0,0,100,0,0,262,0,0,0,9,0,0,0,3,18,0.797297,0.983490566
32,2751,0,0,0,968,102,322,200,65,183,0,0,0,0,0,1,2,21,0,2,26,872,3,1,0,0,100,0,0,0,0,4,57,150,0,0,0,0,18,0.797297,0.900990099
33,220,15,0,0,63,11,13,7,6,23,0,24,0,0,0,7,7,28,0,0,66,60,3,1,0,0,100,0,0,0,0,4,0,240,0,0,0,3,18,0.797297,0.955223881
34,725,0,0,0,233,32,52,55,43,46,0,0,0,0,0,0,0,0,0,0,0,228,3,1,0,0,100,0,0,0,0,0,2,107,0,0,0,0,18,0.797297,0.979166667
35,1375,0,0,0,448,103,133,63,40,100,0,1,0,0,1,2,6,37,0,0,47,439,3,1,0,0,100,0,0,0,255,2,18,9,0,0,0,0,18,0.797297,0.98021978
36,1811,0,0,0,628,112,157,132,125,82,0,0,0,0,0,0,0,1,0,0,1,608,3,1,0,0,100,0,0,0,0,1,18,74,0,0,0,0,18,0.797297,0.96835443
37,1022,14,0,5,351,55,100,68,57,63,0,142,0,1,8,6,57,583,152,0,949,343,3,1,0,0,100,0,0,210,1377,0,0,0,0,0,0,3,18,0.797297,0.976271186
38,642,0,0,0,222,24,65,48,24,41,0,75,0,0,0,4,66,54,0,0,199,202,3,1,0,0,100,160,0,0,0,0,0,27,1,0,0,0,18,0.797297,0.910614525
39,327,4,225,0,268,47,62,9,0,20,0,0,136,0,24,3,7,589,14,4,777,138,3,1,0,2.22,100,0,0,0,0,0,7,168,1,0,0,3,18,0.797297,0.514388489
40,389,0,0,44,151,16,70,9,19,26,0,0,0,0,0,0,0,0,0,0,0,140,3,1,0,2.22,100,0,0,0,0,4,0,29,1,0,0,0,18,0.797297,0.929032258
41,258,0,0,0,99,13,37,24,1,19,0,0,0,0,0,0,0,0,0,0,0,94,3,1,0,0,100,0,0,0,1617,0,4,0,0,0,0,0,18,0.797297,0.953488372
42,3691,0,0,0,1263,149,432,266,104,258,0,0,0,0,2,2,2,14,0,4,24,1209,3,1,0,0,100,0,0,0,0,1,1,21,0,0,0,0,18,0.797297,0.957165109
43,882,0,0,0,345,56,122,82,1,64,0,0,0,0,3,9,51,180,0,0,243,325,3,1,0,0,100,0,0,0,0,0,0,155,0,0,0,0,18,0.797297,0.942598187
44,468,79,0,0,179,31,85,18,6,35,0,12,0,0,3,51,3,162,1,13,245,175,3,1,0,0,100,0,0,727,0,0,0,0,0,0,0,3,18,0.797297,0.975609756
45,3227,0,0,0,1138,146,439,250,124,149,0,0,0,0,0,20,21,62,10,0,113,1108,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297,0.973856209
46,1314,0,0,0,529,98,179,90,147,0,0,0,0,0,0,8,67,63,0,60,198,514,3,1,0,0,100,0,0,0,721,0,6,2,0,0,0,0,5,0.874251,0.972027972
47,1865,0,0,0,982,385,320,88,64,64,0,104,0,0,1,1,51,811,67,29,1064,921,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,5,0.874251,0.9375
48,1536,0,0,0,590,151,151,115,33,108,0,0,0,0,0,1,35,45,0,9,90,558,3,1,0,0.61,100,0,0,0,0,1,6,5,0,0,0,0,5,0.874251,0.945895522
49,2060,0,0,0,683,127,213,145,54,123,0,0,0,0,32,58,207,359,122,30,808,662,3,1,0,0.830073,100,0,0,191,0,0,0,0,0,0,0,0,5,0.874251,0.968660969
50,610,5,0,0,246,44,89,50,11,38,0,150,0,0,0,7,7,245,24,54,487,232,3,1,0,0.957361,100,0,0,342,293,0,0,29,0,0,0,3,5,0.874251,0.942731278
51,196,0,0,0,90,35,30,4,11,7,0,35,0,6,46,149,175,1237,322,22,1992,87,3,1,3,1.04699,100,0,0,315,0,0,113,0,0,0,0,0,5,0.874251,0.968085106
52,660,7,0,0,302,89,96,51,34,17,0,45,0,5,24,13,207,709,381,44,1428,287,3,1,3.93105,1.0855,100,0,0,689,0,2,0,0,0,0,0,3,5,0.874251,0.950980392
53,929,17,0,0,378,105,119,54,40,45,0,23,0,1,10,17,84,1369,164,21,1689,363,3,1,8.21435,1.07888,100,0,0,1280,0,0,167,0,0,0,0,3,5,0.874251,0.961340206
54,489,38,0,0,214,49,80,20,25,24,0,39,0,0,2,2,73,533,149,54,852,198,3,1,8.14705,1.0873,100,1163,0,0,1264,0,0,0,0,0,0,1,5,0.874251,0.923444976
55,662,0,0,0,320,95,93,48,42,10,0,28,0,0,52,39,127,366,185,54,851,288,3,1,4.20394,1.09325,100,0,0,0,617,0,0,0,0,0,0,0,5,0.874251,0.899350649
56,1982,0,0,0,687,98,220,142,102,84,0,45,0,0,0,17,37,259,29,99,486,646,3,1,3,1.00388,100,0,0,0,0,5,18,67,0,0,0,0,5,0.874251,0.939691445
57,1201,5,0,0,367,95,78,73,40,76,0,0,0,0,0,4,13,45,4,13,79,362,3,1,0,0,100,0,0,0,0,0,39,0,0,0,0,3,5,0.874251,0.985994398
58,2872,16,0,0,915,180,212,219,59,212,0,2,0,0,6,22,18,117,36,29,230,882,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,1,5,0.874251,0.964190981
59,4700,105,0,0,1629,342,502,289,79,343,0,0,0,7,4,20,114,514,24,45,728,1555,3,1,0,0,100,0,0,0,0,1,0,75,0,0,0,3,5,0.874251,0.954626866
60,3224,96,0,0,1100,209,319,239,65,215,0,0,0,0,10,8,51,241,31,89,430,1047,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,3,5,0.874251,0.952166065
61,1001,0,0,0,350,56,104,89,15,82,0,0,0,0,0,2,6,15,0,14,37,346,3,1,0,0,100,0,0,0,0,1,80,18,0,0,0,0,5,0.874251,0.989473684
62,1715,0,0,0,577,89,119,102,50,174,0,136,0,25,0,21,6,119,10,104,421,534,3,1,0,0,100,0,0,0,587,0,32,108,0,0,0,3,5,0.874251,0.925549915
63,2402,4,0,0,704,117,184,122,67,203,0,209,0,5,0,13,17,91,51,69,455,693,3,1,0,0,100,0,0,0,597,0,0,0,0,0,0,3,5,0.874251,0.983727811
64,4180,0,0,0,1477,297,565,261,93,225,0,10,0,0,8,7,48,256,22,29,380,1441,3,1,2.39286,0,100,0,0,0,0,1,0,359,0,0,0,0,5,0.874251,0.975415282
65,1197,2639,0,0,580,186,168,82,52,44,0,289,0,0,24,66,96,518,235,163,1391,532,3,1,2.49752,1.35409,100,0,0,0,604,0,0,0,0,0,0,1,25,0.30814,0.916666667
66,347,810,0,0,140,34,40,24,17,17,0,2982,0,0,13,7,67,8241,708,237,12255,132,3,1,2.67954,1.12,100,0,28802,2086,0,0,0,0,0,0,0,1,25,0.30814,0.94
67,2617,83,0,0,922,213,244,137,69,211,0,178,0,0,75,58,237,941,487,58,2034,874,3,1,2.39286,0,100,0,0,0,637,0,200,0,0,0,0,1,24,0.797872,0.948148148
68,5463,0,0,0,1979,358,634,384,262,290,0,0,0,0,2,9,29,194,2,19,255,1928,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,24,0.797872,0.974465148
69,4480,25,0,0,1542,302,460,281,129,321,0,77,0,38,15,33,101,254,114,54,686,1493,3,1,0,0,100,0,0,0,916,0,23,0,0,0,0,1,24,0.797872,0.967980296
70,1269,0,0,0,442,78,135,82,31,91,0,68,0,0,2,1,39,549,48,24,731,417,3,1,2.39286,0,100,0,0,0,0,1,0,347,1,0,0,1,24,0.797872,0.944309927
71,1321,22,2,0,492,99,133,94,76,74,0,15,1,0,0,2,15,269,1,12,315,476,3,1,0,0,100,0,0,0,0,1,0,831,1,0,0,3,24,0.797872,0.968215159
72,1335,0,0,0,547,85,189,94,90,46,0,0,0,0,1,3,14,47,0,6,71,504,3,1,0,0,100,0,0,0,0,0,0,61,1,0,0,0,24,0.797872,0.921971253
73,1313,36,0,0,533,104,157,94,107,37,0,12,0,0,1,6,18,141,0,13,191,499,3,1,2.67954,1.12,100,0,0,0,0,0,0,271,1,0,0,1,24,0.797872,0.936218679
74,1043,157,25,0,436,110,131,81,57,38,0,14,0,0,14,22,17,274,74,41,456,417,3,1,8,1.36934,100,0,0,0,0,0,0,0,1,0,0,1,24,0.797872,0.957040573
75,692,22,0,0,247,47,76,27,21,57,0,22,0,0,9,1,1,1620,29,30,1712,228,3,1,4.76992,1.69151,100,0,0,5380,0,0,0,0,1,0,0,1,24,0.797872,0.92248062
76,2536,0,0,0,1304,465,431,159,114,52,0,8,0,0,1,11,7,329,1,26,383,1221,3,1,4.43,1.66722,100,0,0,1096,0,0,11,191,1,0,0,0,24,0.797872,0.936139332
77,232,0,0,0,92,18,27,19,12,11,0,0,0,0,0,0,0,39,0,23,62,87,3,1,5.63146,1.43302,100,0,0,0,0,0,0,0,1,0,0,0,3,0.64684,0.942528736
78,369,0,0,0,128,22,29,13,37,19,0,184,0,0,259,0,0,108,6,134,691,120,3,1,5.81724,1.32324,100,0,0,0,0,0,90,1,1,0,0,0,25,0.30814,0.939655172
79,156,11,0,0,57,15,19,4,0,17,0,26,0,0,3,0,10,228,54,67,388,55,3,1,4.25746,1.19,100,0,0,521,0,0,80,0,1,0,0,1,25,0.30814,0.962962963
80,1134,7,0,0,398,87,105,66,38,91,0,0,0,0,1,1,18,167,14,12,213,387,3,1,7.7858,1.04964,100,0,0,0,0,0,0,0,0,0,0,3,5,0.874251,0.971671388
81,926,8,0,0,315,56,95,43,13,95,0,0,0,0,0,3,8,66,0,20,97,302,3,1,4.42572,1.08716,100,0,0,0,0,0,9,0,0,0,0,3,5,0.874251,0.95751634
82,642,5,0,0,191,44,45,31,14,55,0,0,0,0,0,7,7,62,0,26,102,189,3,1,3,1.06979,100,0,0,0,0,4,0,6,0,0,0,3,5,0.874251,0.989949749
83,1605,3,0,0,513,62,193,88,32,103,0,3,0,0,15,104,91,198,171,25,607,478,3,1,11.25,1,100,0,0,0,0,0,0,0,0,0,0,1,5,0.874251,0.931558935
84,2380,0,0,0,838,205,215,163,52,161,0,0,0,0,9,13,20,225,33,18,318,796,3,1,0,0.5,100,0,0,0,0,0,0,0,0,0,0,3,5,0.874251,0.950121655
85,569,0,0,0,193,49,39,43,2,53,0,0,0,0,3,3,8,18,0,29,61,186,3,1,0,0.5,100,0,0,0,0,0,21,7,0,0,0,0,5,0.874251,0.96373057
86,1278,0,0,0,427,89,117,70,37,97,0,0,0,0,6,2,11,199,0,31,249,410,3,1,3,1.08383,100,0,0,0,532,0,0,5,0,0,0,0,5,0.874251,0.961187215
87,520,0,0,0,181,31,51,51,16,28,0,0,0,0,0,2,8,34,0,22,66,177,3,1,0,1.23769,100,0,0,0,0,0,1,0,0,0,0,0,5,0.874251,0.980392157
88,503,0,0,0,177,24,49,39,43,16,0,138,0,0,0,30,8,74,14,74,338,171,3,1,0,1.68948,100,0,0,0,0,1,0,84,0,0,0,0,5,0.874251,0.964705882
89,312,174,0,0,128,24,65,15,0,22,0,887,0,0,0,2,24,273,41,48,1275,126,3,1,0,1.87763,100,0,0,0,0,0,0,0,0,0,0,4,5,0.874251,0.981481481
90,1396,0,0,0,491,110,162,62,26,111,0,50,0,0,2,4,18,122,0,18,214,471,3,1,0,1.13467,100,0,0,0,0,0,123,41,0,0,0,0,5,0.874251,0.958333333
91,204,0,0,0,81,29,14,11,10,13,0,169,0,0,0,0,28,32,0,42,271,77,3,1,0,0.947292,100,0,0,0,0,0,0,34,0,0,0,0,5,0.874251,0.955223881
92,547,0,0,0,149,28,37,20,15,43,0,0,0,0,1,0,1,55,0,6,63,143,3,1,0,0.912111,100,0,0,0,0,0,0,4,0,0,0,0,5,0.874251,0.961783439
93,1085,0,0,0,375,87,96,74,23,78,0,18,0,0,1,19,3,46,0,19,106,358,3,1,0,1.35438,100,0,0,0,0,0,0,39,0,0,0,0,5,0.874251,0.955555556
94,898,0,0,0,299,59,86,45,45,54,0,192,0,0,12,17,37,232,0,99,589,289,3,1,0,0,100,0,0,0,1069,1,0,0,0,0,0,0,5,0.874251,0.96797153
95,2197,47,0,0,733,135,184,150,96,141,0,19,0,1,3,3,24,64,2,25,141,706,3,1,0,1.53927,100,0,0,0,0,4,0,247,0,0,0,3,5,0.874251,0.96366782
96,814,0,0,120,300,84,108,32,24,49,0,76,0,4,3,25,63,139,121,60,491,297,3,1,0,0,100,0,0,0,672,0,0,0,0,0,0,0,5,0.874251,0.991596639
97,260,0,0,0,120,44,37,14,10,8,0,11,0,2,78,19,712,1689,1411,22,3944,113,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251,0.944
98,345,0,0,0,124,15,44,16,17,21,0,0,0,0,0,2,2,43,0,15,62,113,3,1,0,0,100,0,0,0,0,0,7,71,0,0,0,0,5,0.874251,0.9140625
99,784,15,0,0,265,51,78,19,19,78,0,0,0,1,2,15,11,260,10,34,333,245,3,1,0,0,100,0,0,0,887,2,7,269,0,0,0,3,5,0.874251,0.923076923
100,1368,0,0,0,516,58,154,98,177,0,0,0,0,0,9,3,20,36,0,9,77,487,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251,0.943693694
101,1230,0,0,0,441,43,135,101,71,66,0,0,0,0,20,6,79,154,12,50,321,416,3,1,0,0,100,0,0,0,0,0,1,246,0,0,0,0,5,0.874251,0.944174757
102,1715,0,0,0,618,141,194,90,11,148,0,864,0,0,8,7,136,807,30,51,1903,584,3,1,0,0,100,0,0,82,0,0,0,421,1,0,0,0,5,0.874251,0.944250871
103,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,8,0,0,125,205,1209,0,3,1,0,1.99339,100,0,10573,0,0,0,0,9,1,0,0,0,5,0.874251,NaN
104,27,0,0,0,16,7,6,0,2,0,433,35,0,0,0,0,12,33,11,132,656,15,3,1,0,1.5,100,0,0,0,0,0,0,242,1,0,1,0,5,0.874251,0.928571429
105,1686,0,61,0,945,359,368,93,19,47,0,264,73,0,4,2,77,396,2,50,868,886,3,1,0,0,100,0,0,0,0,1,12,407,1,0,0,0,4,0.44186,0.937960042
106,0,53,66,0,0,0,0,0,0,0,0,32,53,2,3,0,14,289,106,14,513,0,3,1,0,1.20192,100,0,0,0,0,1,722,95,1,0,0,3,4,0.44186,0
107,1643,65,0,0,853,310,307,65,66,52,0,129,0,4,1,9,12,383,173,35,746,800,3,1,0,1,100,0,0,334,442,0,0,0,1,0,0,3,5,0.874251,0.938053097
108,2251,8,0,0,759,138,228,138,69,156,0,0,0,0,25,11,36,122,78,31,303,729,3,1,0,0.5,100,0,0,0,0,0,0,0,0,0,0,3,5,0.874251,0.960753532
109,1976,20,0,0,786,174,214,137,54,129,0,0,0,0,43,7,122,685,219,40,1116,708,3,1,0,0.839267,100,0,0,18,0,0,489,0,0,0,0,3,5,0.874251,0.901234568
110,13,0,0,0,10,8,1,1,0,0,0,39,0,1,0,0,0,131,20,29,220,10,3,1,0,1.19052,100,0,0,0,0,0,18,218,0,0,0,0,4,0.44186,1
111,239,0,0,0,225,63,59,10,2,3,0,0,0,0,0,0,0,25,151,160,336,137,3,1,0,1.48798,100,0,0,0,729,0,0,0,1,0,0,0,4,0.44186,0.607594937
112,541,0,451,0,363,95,142,24,5,14,0,18,343,0,1,0,0,143,0,0,505,280,3,1,0,1.67992,100,0,0,0,0,1,762,0,1,0,0,0,4,0.44186,0.772222222
113,150,0,1244,0,163,70,18,6,2,3,0,43,727,1,1,1,1,662,47,0,1483,99,2,3,2.87545,1.64725,100,0,0,0,0,0,0,19,0,0,0,0,4,0.44186,0.608695652
114,737,31,475,0,996,157,160,28,19,17,0,37,462,0,3,14,65,476,1,6,1064,381,3,1,2.5,1.73937,100,0,0,0,0,0,2,6,0,0,0,3,4,0.44186,0.382550336
115,2783,0,338,0,1899,749,517,140,79,46,0,8,284,0,4,4,21,234,0,0,555,1531,2,3,3.0341,1.84656,100,0,0,0,0,4,1,44,1,0,0,0,4,0.44186,0.806133056
116,786,0,106,0,744,203,167,40,31,1,0,34,228,0,11,31,6,117,279,36,742,442,2,3,3.03389,1.91329,100,0,0,0,0,9,6,12,1,0,0,0,4,0.44186,0.593955322
117,790,35,827,0,724,309,158,21,13,9,0,41,725,0,4,3,169,885,183,0,2010,510,2,3,3.02265,1.88982,100,0,0,0,0,0,0,0,0,1,0,3,4,0.44186,0.704787234
118,145,155,882,0,226,72,11,9,6,0,0,60,1283,0,20,10,4,1487,1917,0,4781,98,2,3,3.02371,1.79457,100,0,0,0,0,4,12,40,0,0,0,1,4,0.44186,0.432900433
119,3,0,1434,0,1,0,0,1,0,0,0,34,1323,1,13,37,7,2028,796,0,4239,1,2,3,3.07829,1.39356,100,0,0,0,0,0,7,233,0,1,0,0,4,0.44186,1
120,1339,0,666,0,981,359,244,62,46,20,0,2,442,0,20,3,14,312,23,0,816,731,2,3,3.0805,1.61841,100,0,0,0,0,0,2015,62,0,0,0,0,4,0.44186,0.744907856
121,1773,427,660,0,1719,489,395,70,43,18,0,8,280,0,23,11,82,456,32,0,892,1015,2,3,3.53151,1.48164,100,0,0,0,0,0,0,0,1,0,0,1,4,0.44186,0.590425532
122,88,0,57,0,241,45,15,3,1,0,0,164,67,13,44,170,679,2828,2497,289,6751,64,2,3,3.47055,1.35283,100,0,0,0,0,0,0,35,1,1,0,0,4,0.44186,0.266094421
123,76,0,388,0,75,26,11,5,2,1,0,188,458,10,63,43,130,1326,668,21,2907,45,2,3,3.57126,1.44831,100,0,0,0,0,0,0,28,0,0,0,0,4,0.44186,0.6
124,1501,0,126,0,1282,355,252,104,32,36,0,0,115,0,0,2,4,210,0,7,338,779,2,3,3.78043,1.57601,100,0,0,0,0,0,7,970,1,0,0,0,4,0.44186,0.607623318
125,270,0,62,0,192,44,32,12,19,10,0,0,109,2,2,7,0,373,1065,316,1874,117,2,3,3.72747,1.55095,100,0,0,0,0,0,18,30,1,0,0,0,4,0.44186,0.608490566
126,758,0,534,0,480,179,155,42,27,7,0,24,493,0,1,0,6,87,0,10,621,410,2,3,3.91746,1.49925,100,0,0,0,0,0,0,49,1,0,0,0,4,0.44186,0.85380117
127,928,13,150,0,731,225,151,62,15,31,0,0,192,1,9,0,14,257,54,25,552,484,2,3,4.17094,2.25868,100,0,0,0,0,0,0,145,1,0,0,3,4,0.44186,0.662371134
128,796,0,128,0,660,255,102,62,18,14,0,0,182,0,0,7,55,225,69,14,552,451,2,3,3.05109,2.73119,100,0,0,0,0,0,0,72,1,0,0,0,4,0.44186,0.682959049
129,197,0,0,0,167,46,38,9,2,7,0,0,0,1,0,10,69,196,132,23,431,102,2,3,2.41159,2.44579,100,0,0,0,0,1,1,29,1,0,0,0,4,0.44186,0.609137056
130,2765,0,235,0,2143,793,608,150,28,33,0,263,365,0,138,64,138,1592,729,40,3329,1612,2,3,2.04524,3.10967,100,0,0,0,0,0,0,103,1,0,0,0,4,0.44186,0.752325012
131,3879,0,699,0,3269,1108,875,188,56,36,0,0,228,0,15,12,166,434,7,0,862,2263,2,3,1.84509,4.39767,100,0,0,0,0,0,18,152,1,0,0,0,4,0.44186,0.692214846
132,477,0,871,0,1115,123,78,39,9,9,0,23,609,2,12,3,10,866,54,0,1579,258,2,3,1.71377,5.9832,100,0,0,0,0,0,67,388,0,0,0,3,4,0.44186,0.231343284
133,749,46,2155,0,622,166,106,49,24,24,0,106,1776,9,30,3,217,3772,3651,231,9795,369,2,3,2.58132,5.79101,100,0,0,0,0,0,1,102,0,0,0,3,4,0.44186,0.593006993
134,5,17,563,0,4,1,2,0,0,0,0,18,597,0,0,4,79,41,102,0,841,3,2,3,4.18163,2.26694,100,0,0,0,0,0,0,4,0,0,0,3,4,0.44186,0.666666667
135,486,0,1051,0,634,132,92,22,3,18,0,121,791,8,51,15,240,1515,240,11,2992,267,2,3,3.59486,1.39249,100,0,0,0,0,0,15,0,0,0,0,0,4,0.44186,0.421052632
136,32,0,3209,0,102,13,3,3,1,0,0,21,2017,1,36,42,40,3979,807,0,6943,20,2,3,3.19243,1.14197,100,0,0,0,0,1,15,650,0,0,0,0,4,0.44186,0.196581197
137,0,0,0,0,0,0,0,0,0,0,0,63,0,4,8,8,112,310,2320,65,2890,0,2,3,3.48642,1.33813,100,0,0,0,0,4,270,150,0,0,0,0,4,0.44186,NaN
138,0,9,0,0,0,0,0,0,0,0,0,231,0,0,4,8,444,110,246,64,1107,0,3,1,0,2.43275,100,0,0,0,0,0,2,0,0,0,0,3,5,0.874251,NaN
139,3133,236,0,0,1588,476,541,222,128,73,0,91,0,0,34,41,71,518,297,108,1160,1440,3,1,0,1,100,0,0,0,2126,0,144,0,0,0,0,1,5,0.874251,0.906590258
140,485,0,0,0,235,88,54,42,22,15,0,44,0,0,1,10,69,382,184,39,729,221,3,1,5.72778,1.29687,100,0,0,0,0,0,12,0,0,0,0,0,5,0.874251,0.939622642
141,744,0,0,0,435,187,140,40,28,9,0,85,0,0,0,39,105,101,58,39,427,404,3,1,2.44377,1.50619,100,0,0,0,0,0,0,0,0,0,0,0,3,0.64684,0.928721174
142,492,129,0,0,332,206,57,35,5,8,0,15,0,0,13,2,105,606,163,33,937,311,3,1,2.8851,1.39087,100,0,0,0,0,0,0,337,0,0,0,1,25,0.30814,0.93715847
143,2441,4,0,0,1253,419,417,189,78,60,0,32,0,0,6,79,9,165,20,34,345,1163,3,1,2.82389,1.549,100,0,0,0,554,0,0,0,0,0,0,1,3,0.64684,0.927873779
144,2048,37,0,0,938,271,300,148,81,73,0,0,0,0,28,7,42,66,0,66,209,873,2,3,3.4,1.66332,100,0,0,0,0,0,0,348,0,0,0,1,3,0.64684,0.930210325
145,1396,0,0,0,800,322,275,80,56,12,0,55,0,0,0,6,9,818,8,35,931,745,2,3,3.73151,2.00773,100,0,0,2573,998,0,0,71,0,0,0,0,3,0.64684,0.930751174
